DOoboraabrego@viajes.cl,537613,35618,Irún,Telde,96,4059,420000,Turkish Airlines,Cádiz;Telde;Guadalajara,Primera clase,2026-10-13,2026-10-15
Beatrizcazares@viajes.cl,537616,47943,Telde,Toledo,74,622,29000,EasyJet,,Clase ejecutiva,2026-10-17,2026-10-17
algaag@viajes.cl,536195,39210,Torremolinos,Logroño,7,2110,73000,British Airways,Algeciras,Clase económica,2025-03-17,2025-03-18
maduca@viajes.cl,536196,66238,Logroño,Fuenlabrada,77,3574,363000,Turkish Airlines,Leganés;Mataró,Primera clase,2025-03-18,2025-03-20
marOAa5411@viajes.cl,536203,22677,Fuenlabrada,Alcalá de Henares,59,2556,300000,Qantas,Barcelona;Elche;Viladecans,Primera clase,2025-03-26,2025-03-27
dogaro@viajes.cl,536218,33665,Motril,MADRID,39,1342,131000,JetBlue,,Clase económica,2025-06-14,2025-06-14
dopeal@viajes.cl,536237,265,San Sebastían de los Reyes,Valdemoro,67,2745,82000,Air New Zealand,Salamanca;Elche;Ciudad Real,Primera clase,2025-06-21,2025-06-22
lourdes7642@viajes.cl,536238,21615,Lorca,Lorca,93,3872,378000,KLM,Badajoz;Alcobendas,Primera clase,2025-04-23,2025-04-25
adela8346@viajes.cl,536240,52777,Lorca,CáDIZ,33,3369,217000,JetBlue,Alcalá de Henares;Palencia;Palencia,Clase ejecutiva,2025-04-26,2025-04-28
gugugi@viajes.cl,536280,81566,Mataró,Granollers,27,2145,79000,Ethiopian Airlines,,Clase ejecutiva,2025-07-28,2025-07-29
EmiliavillagOImez@viajes.cl,536281,89446,Granollers,ELDA,54,1203,116000,Etihad Airways,,Clase económica,2025-07-29,2025-07-29
noonro@viajes.cl,536289,68426,Elda,Manresa,23,2093,82000,Delta Air Lines,Algeciras,Clase económica,2025-08-05,2025-08-06
JosOoquiroz@viajes.cl,536305,46163,Algeciras,Majadahonda,51,584,89000,Emirates,,Clase económica,2026-11-01,2026-11-01
cOocoro@viajes.cl,536328,63727,La Línea de la Concepción,Majadahonda,17,3587,160000,Ryanair,Paterna;Burgos,Primera clase,2026-01-23,2026-01-25
marOAa9727@viajes.cl,536332,59373,Majadahonda,Pamplona,3,2905,374000,Copa Airlines,Majadahonda;El Prat de LLobregat,Clase ejecutiva,2026-01-28,2026-01-30
roraho@viajes.cl,536343,44471,Talavera de la Reina,Paterna,76,4155,331000,Wizz Air,Getafe;Tarrasa;Logroño;Tarragona,Primera clase,2026-04-21,2026-04-23
Rosaliamadrid@viajes.cl,536344,46798,Murcia,El Puerto de Santa María,50,3368,222000,Iberia,Mollet del Vallés;Zamora;La Línea de la Concepción;Zamora,Clase ejecutiva,2025-07-13,2025-07-15
francisco4064@viajes.cl,536347,59065,El Puerto de Santa María,Pontevedra,6,2320,88000,Air Canada,Valladolid,Clase ejecutiva,2025-07-17,2025-07-18
sra.3913@viajes.cl,536378,92462,Cornellá de Llobregat,Badajoz,77,1335,49000,Aeroméxico,Castellón de la Plana,Clase económica,2025-07-22,2025-07-22
Sergioramos@viajes.cl,536379,96851,Badajoz,Jerez de la Frontera,95,3219,280000,Ryanair,Fuenlabrada;Molina de Segura;Granada,Clase ejecutiva,2025-07-22,2025-07-24
RosariocalderOIn@viajes.cl,536410,21065,Ferrol,Segovia,56,3596,371000,Air Canada,Avilés,Clase ejecutiva,2026-08-23,2026-08-25
federico4047@viajes.cl,536460,48876,Alcobendas,ALCALá DE HENARES,71,647,68000,Turkish Airlines,,Clase económica,2026-10-02,2026-10-02
giralo@viajes.cl,536462,74464,dos hermanas,Ponferrada,21,2237,264000,Alaska Airlines,Mérida;Elche,Clase ejecutiva,2026-05-14,2026-05-15
horacio7455@viajes.cl,536470,52400,Ponferrada,Almería,8,358,71000,Qantas,,Clase ejecutiva,2026-05-22,2026-05-22
Diegoalva@viajes.cl,536485,49172,Alicante,Hospitalet de LLobregat,24,2633,191000,Spirit Airlines,,Clase ejecutiva,2026-05-16,2026-05-17
Sta.cruz@viajes.cl,536492,95847,Sagunto,Avilés,23,1304,95000,Delta Air Lines,,Clase económica,2025-09-18,2025-09-18
Sra.trejo@viajes.cl,536493,26138,cuenta,Bilbao,66,3719,397000,Southwest Airlines,Irún;León;Alcalá de Guadaira,Primera clase,2026-09-11,2026-09-13
Sta.vOolez@viajes.cl,536508,96439,telde,,24,,240000,American Airlines,Leganés,Clase ejecutiva,2026-10-11,2026-10-12
cldeca@viajes.cl,536509,71902,málaga,Arrecife,30,2024,197000,British Airways,Fuengirola;Sevilla,Clase ejecutiva,2026-10-12,2026-10-13
Sr.nieves@viajes.cl,536513,11986,Arrecife,GANDíA,46,142,78000,KLM,,Clase económica,2026-10-16,0000-00-00
sr.3517@viajes.cl,536567,9292,Ponferrada,La Línea de la Concepción,13,1112,144000,WestJet,,Clase económica,2025-10-30,2025-10-30
Carmencarrasco@viajes.cl,536568,67010,La Línea de la Concepción,Ciudad Real,93,271,102000,Avianca,,Clase ejecutiva,2025-10-30,2025-10-30
alguor@viajes.cl,536569,67997,Ciudad Real,Valencia,90,231,89000,Qantas,,Clase económica,2025-10-30,2025-10-30
srmamioj@viajes.cl,536629,96014,Cartagena,CUENTA,61,2717,80000,Southwest Airlines,San Sebastián;Calahorra,Primera clase,2026-08-30,2026-08-31
josOo8194@viajes.cl,536630,4209,Gijón,Oviedo,40,3141,317000,Air France,Elche;Málaga,Primera clase,2026-09-02,2026-09-04
ramite@viajes.cl,536639,86422,Las Palmas de Gran Canaria,Zamora,69,781,41000,Southwest Airlines,,Clase económica,2026-01-06,2026-01-06
evtOIvi@viajes.cl,536699,68711,Toledo,Sagunto,75,4272,472000,Qantas,Chiclana de la Frontera;Cerdañola del Vallés;Alcalá de Henares;Castellón de la Plana,Primera clase,2026-03-07,2026-03-09
ArturochavarrOAa@viajes.cl,536702,21362,Sagunto,Oviedo,17,4179,497000,Alaska Airlines,Murcia;Rubí,Primera clase,2026-03-11,2026-03-13
Sra.raya@viajes.cl,536757,28849,Mérida,Pamplona,13,2767,154000,KLM,Ceuta;Chiclana de la Frontera,Clase ejecutiva,2025-04-26,2025-04-27
Jorgecasanova@viajes.cl,536758,21731,Pamplona,Mérida,49,291,132000,British Airways,,Clase ejecutiva,2025-04-27,2025-04-27
sabanOe@viajes.cl,536759,1714,Mérida,TARRASA,42,2791,85000,Air Canada,Mataró,Clase ejecutiva,2025-04-27,2025-04-28
Raquelromero@viajes.cl,536762,95171,mataró,León,56,3065,390000,JetBlue,Mataró,Primera clase,2026-02-25,2026-02-27
FlorenciajOequez@viajes.cl,536763,14968,León,Rubí,72,3500,249000,Qantas,Tarragona;Elche;Toledo,Primera clase,2026-02-27,2026-03-01
Luisalicea@viajes.cl,536787,61199,Jaén,Sagunto,27,3226,134000,JetBlue,Alcoy;Valencia,Clase ejecutiva,2026-03-31,2026-04-02
perime@viajes.cl,536788,33301,Sagunto,Tarrasa,59,289,30000,Delta Air Lines,,Clase económica,2026-04-02,2026-04-02
amalia9799@viajes.cl,536789,82678,estepona,Barcelona,32,1841,95000,Copa Airlines,Ponferrada;Las Palmas de Gran Canaria,Clase ejecutiva,2025-06-10,2025-06-11
carolina5670@viajes.cl,536795,65726,Barcelona,Córdoba,14,3926,256000,Wizz Air,Alcobendas;Benalmádena;León,Primera clase,2025-06-16,2025-06-18
Manuelavega@viajes.cl,536818,14881,,Castellón de la Plana,,,-1,Etihad Airways,Huelva;Alcobendas,Clase económica,2025-01-15,2025-01-16
savOogo@viajes.cl,-1,24486,Albacete,Parla,88,2303,259000,Delta Air Lines,Talavera de la Reina,,2026-10-27,0000-00-00
gavesa@viajes.cl,536831,78135,Parla,Córdoba,82,2087,117000,Qatar Airways,,Clase económica,2026-11-01,2026-11-02
Benitolugo@viajes.cl,536838,33742,elda,Cerdañola del Vallés,85,2273,113000,Iberia,Rubí;Paterna,Primera clase,2026-10-30,2026-10-31
DOoborahenrOAquez@viajes.cl,-1,-1,Cerdañola del Vallés,Hospitalet de LLobregat,29,3067,326000,Singapore Airlines,Palma de Mallorca;Gandía;El Prat de LLobregat;Mijas,Clase ejecutiva,2026-11-06,0000-00-00
Claudiozayas@viajes.cl,536850,83956,Gecho,Paterna,79,2720,266000,Lufthansa,Hospitalet de LLobregat;Gijón,Clase ejecutiva,2026-02-03,2026-02-04
sta.7694@viajes.cl,536859,90208,Fuengirola,MAJADAHONDA,62,500,100000,Turkish Airlines,,Clase ejecutiva,2026-11-04,2026-11-04
Samuelarenas@viajes.cl,536867,69277,Majadahonda,Logroño,35,1482,81000,Turkish Airlines,Alcalá de Guadaira;Fuenlabrada,Clase ejecutiva,2026-11-11,2026-11-12
vicente3826@viajes.cl,536884,21889,Torremolinos,Bilbao,94,2443,291000,Iberia,Oviedo,Primera clase,2025-09-10,2025-09-11
gaocce@viajes.cl,536891,54772,Bilbao,Sevilla,14,2586,195000,JetBlue,,Clase ejecutiva,2025-09-17,2025-09-18
comoro@viajes.cl,536896,11041,Sevilla,Gerona,6,503,46000,Alaska Airlines,,Clase económica,2025-09-22,2025-09-22
sra.7007@viajes.cl,536939,65132,Santa Lucía de Tirajana,Sagunto,45,3231,166000,KLM,Cádiz,Clase ejecutiva,2026-09-17,2026-09-19
JosOoechevarrOAa@viajes.cl,536954,18189,Santiago de Compostela,Majadahonda,10,2042,136000,KLM,Santa Coloma de Gramanet;Sevilla,Clase ejecutiva,2026-05-09,2026-05-10
Sra.olvera@viajes.cl,536958,53852,zaragoza,Calahorra,14,3693,234000,LATAM Airlines,Santander;San Sebastián;Madrid;Bilbao;Ponferrada,Primera clase,2025-07-03,2025-07-05
Micaelamedrano@viajes.cl,536959,14245,Calahorra,Sevilla,74,1866,56000,Turkish Airlines,,Clase económica,2025-07-05,2025-07-06
marta1746@viajes.cl,536960,61623,Sevilla,San Sebastián,30,610,134000,KLM,,Clase ejecutiva,2025-11-16,2025-11-16
alguor@viajes.cl,536967,15473,San Sebastián,Ávila,53,206,175000,American Airlines,,Clase económica,2025-11-22,2025-11-22
josOo7758@viajes.cl,536997,35304,Torrelavega,Castellón de la Plana,94,369,124000,Avianca,,Clase económica,2025-10-12,2025-10-12
alsaal@viajes.cl,537000,97392,Santa Lucía de Tirajana,TORRELAVEGA,15,4191,364000,Aeroméxico,Huelva;Zamora;Reus;Palma de Mallorca,Primera clase,2026-06-05,2026-06-07
InOosvenegas@viajes.cl,537034,6857,Gerona,GETAFE,15,2778,93000,EasyJet,Valencia;Motril,Primera clase,2026-06-19,2026-06-20
irene3939@viajes.cl,537041,18455,Getafe,Orense,15,3406,254000,Turkish Airlines,Santa Coloma de Gramanet,Clase ejecutiva,2026-06-26,2026-06-28
micaela6140@viajes.cl,537078,85357,Ciudad Real,Jaén,25,2809,272000,EasyJet,,Clase ejecutiva,2025-03-20,2025-03-21
carmen9375@viajes.cl,537079,38622,Jaén,Algeciras,44,2502,151000,Turkish Airlines,,Clase ejecutiva,2025-03-21,2025-03-22
stsimocOI@viajes.cl,537086,25460,santander,Alcalá de Henares,28,1082,51000,WestJet,Collado Villalba,Clase económica,2025-09-30,2025-09-30
jaboca@viajes.cl,537195,39301,Gecho,Lugo,20,456,43000,Qantas,,Clase económica,2025-06-16,2025-06-16
LeonorconcepciOIn@viajes.cl,537170,6759,estepona,Arrecife,31,1191,60000,Etihad Airways,,Clase económica,2026-11-13,2026-11-13
mamari@viajes.cl,537178,65024,Arrecife,Córdoba,9,3807,419000,Alaska Airlines,Benidorm;Castellón de la Plana;Gijón;Alcobendas,Primera clase,2026-11-20,2026-11-22
andrea7429@viajes.cl,537182,52990,Córdoba,Valdemoro,4,4102,164000,Aeroméxico,El Prat de LLobregat;San Fernando;Jaén,Primera clase,2026-11-25,2026-11-27
josOo7758@viajes.cl,537211,47461,Gerona,ÁVILA,95,3416,136000,Emirates,Guadalajara,Clase ejecutiva,2025-06-18,2025-06-20
cOosar7548@viajes.cl,537217,70056,Ávila,Molina de Segura,4,499,141000,Lufthansa,,Clase ejecutiva,2025-06-25,2025-06-25
alfredo7300@viajes.cl,537218,47475,El Puerto de Santa María,Ávila,56,3758,213000,Qantas,Lugo;Palma de Mallorca;Pozuelo de Alarcón,Primera clase,2025-10-21,2025-10-23
sranvape@viajes.cl,537219,49073,Ávila,Puertollano,21,662,125000,Southwest Airlines,,Clase económica,2025-10-23,2025-10-23
gonzalo9263@viajes.cl,537302,19761,Chiclana de la Frontera,Bilbao,68,2573,140000,Singapore Airlines,,Primera clase,2025-02-11,2025-02-12
fernando4681@viajes.cl,537320,16574,Sagunto,Santander,42,1663,181000,Avianca,Arrecife,Clase económica,2025-03-18,2025-03-19
majosade@viajes.cl,537321,71284,Santander,EL EJIDO,45,178,58000,Turkish Airlines,,Clase ejecutiva,2025-03-19,2025-03-19
marcela9572@viajes.cl,537326,53349,el ejido,Sanlúcar de Barrameda,50,4103,297000,KLM,Torrevieja;Granada;Santander,Primera clase,2025-03-23,2025-03-25
Vicentesaldana@viajes.cl,537338,61734,Manresa,El Prat de LLobregat,23,3378,101000,Southwest Airlines,Gerona,Primera clase,2026-08-17,2026-08-19
JosOoolvera@viajes.cl,537342,28326,El Prat de LLobregat,Zaragoza,91,2281,-1,Ethiopian Airlines,Calahorra;Valladolid,Primera clase,,0000-00-00
Sra.urOAas@viajes.cl,537379,66210,san sebastían de los reyes,Valencia,14,3089,113000,Wizz Air,Elche;Santa Coloma de Gramanet,Primera clase,2025-08-07,2025-08-09
marcos4508@viajes.cl,537380,88387,Palencia,Jaén,80,1856,84000,Southwest Airlines,Ceuta;Jerez de la Frontera,Clase ejecutiva,2026-03-18,2026-03-19
andrea9809@viajes.cl,537386,93444,Jaén,Madrid,35,3315,261000,Emirates,Santa Lucía de Tirajana;Santiago de Compostela,Primera clase,2026-03-24,2026-03-26
iscela@viajes.cl,537397,80763,Logroño,Tarragona,62,960,134000,Vueling,Calahorra,Clase económica,2026-05-07,2026-05-07
