RamOIngalindo@viajes.cl,537589,10169,Cartagena,Guadalajara,39,4154,147000,Futura,Cama,Baño;Calefacción;Aire acondicionado,2025-04-20,2025-04-22
Sta.solOAs@viajes.cl,537612,80848,Ávila,Torrelavega,43,2401,107000,JetSur,Cama,Calefacción;TV;Wifi,2025-01-25,2025-01-26
sacuri@viajes.cl,536207,2676,Irún,Málaga,35,942,170000,JetSur,Cama,Asientos reclinables;Agua;Wifi,2025-09-25,2025-09-25
rubOon2473@viajes.cl,536208,15100,Pamplona,Pontevedra,33,3515,188000,FlixBus,Cama,Agua;Wifi;Comida,2026-01-28,2026-01-30
elena8997@viajes.cl,536210,47688,Pontevedra,Talavera de la Reina,35,1949,90000,Monbus,Cama,Baño;Comida;Aire acondicionado,2026-01-31,2026-02-01
OIscar7270@viajes.cl,536211,80397,Talavera de la Reina,Fuenlabrada,30,3440,111000,Futura,Cama,Wifi;Baño;Aire acondicionado,2026-02-01,2026-02-03
Gonzaloprado@viajes.cl,536212,7010,Torrelavega,Orense,38,2119,190000,El Rápido Internacional,Cama,Calefacción;Baño;Aire acondicionado,2025-01-27,2025-01-28
sr.9835@viajes.cl,536213,63001,Orense,Alcorcón,35,350,44000,ADO,Normal,Baño;Aire acondicionado;TV,2025-01-28,2025-01-28
benjamOAn622@viajes.cl,536223,56874,Salamanca,El Ejido,34,3794,65000,Turbus,Cama,Aire acondicionado;TV;Asientos reclinables,2026-08-13,2026-08-15
diego9697@viajes.cl,536230,61775,El Ejido,Alcorcón,41,2432,126000,Plusmar,Cama,Agua;Baño;Asientos reclinables,2026-08-21,2026-08-22
Leonorgallegos@viajes.cl,536262,62934,Madrid,León,50,1060,71000,Alsa,Cama,Baño;Calefacción;TV,2026-08-27,2026-08-27
Sra.cavazos@viajes.cl,536263,15362,León,Toledo,49,1313,67000,Condor Bus,Cama,Wifi;Comida;Baño,2026-08-27,2026-08-27
Sta.rojas@viajes.cl,536269,89405,Elche,Elche,41,3801,99000,Condor Bus,Cama,Aire acondicionado;Comida;Agua,2026-07-12,2026-07-14
Sra.urOAas@viajes.cl,536277,41200,Tarragona,ELDA,31,1477,130000,Turbus,Cama,Wifi;Aire acondicionado;Baño,2026-01-28,2026-01-29
srlulour@viajes.cl,536278,93251,Elda,Estepona,33,4082,170000,Condor Bus,Cama,Wifi;Comida;Agua,2026-01-29,2026-01-31
emilio4779@viajes.cl,536279,17005,Estepona,Badajoz,39,3944,128000,Greyhound,Cama,Wifi;Baño;Asientos reclinables,2026-01-31,2026-02-02
lurevi@viajes.cl,536297,9351,Chiclana de la Frontera,Salamanca,50,3583,104000,Buses Bio Bio,Cama,TV;Aire acondicionado;Asientos reclinables,2026-10-28,2026-10-30
alruca@viajes.cl,536298,95234,Salamanca,Valencia,37,2734,131000,Avanza,Cama,Wifi;Baño;Aire acondicionado,2026-10-30,2026-10-31
stmapata@viajes.cl,536299,97422,Valencia,Motril,47,1141,82000,Buses Nilahue,Cama,Agua;Wifi;TV,2026-10-31,2026-10-31
COosaresquibel@viajes.cl,536310,88879,Gecho,Albacete,49,4176,199000,El Rápido Internacional,Cama,Asientos reclinables;Wifi;Calefacción,2026-06-10,2026-06-12
esteban8714@viajes.cl,536316,55237,Albacete,Mollet del Vallés,40,1450,108000,ADO,Cama,Asientos reclinables;Calefacción;Baño,2026-06-17,2026-06-18
gerardo2022@viajes.cl,536317,69306,Mollet del Vallés,Lorca,30,1356,61000,Buses Nilahue,Cama,Baño;Aire acondicionado;Comida,2026-06-18,2026-06-18
Federicobanda@viajes.cl,536333,84900,Tarrasa,Gecho,44,3935,165000,Condor Bus,Cama,Baño;TV;Aire acondicionado,2026-05-03,2026-05-05
SanchotOollez@viajes.cl,536340,86637,Cádiz,Irún,42,437,74000,ETN Turistar,Semi-cama,Aire acondicionado;Agua;Calefacción,2026-07-27,2026-07-27
AlfredomacOAas@viajes.cl,536341,20276,Irún,Mollet del Vallés,34,2932,147000,Buses Romani,Cama,Calefacción;TV;Asientos reclinables,2026-07-27,2026-07-29
NormatOollez@viajes.cl,536342,27476,Mollet del Vallés,Estepona,42,3593,190000,JetSur,Cama,Aire acondicionado;Agua;Baño,2026-07-29,2026-07-31
cecilia2735@viajes.cl,536348,76786,Majadahonda,VIGO,34,4271,185000,Crucero del Norte,Cama,Agua;Wifi;Calefacción,2026-10-03,2026-10-05
srrunaso@viajes.cl,536354,69169,Vigo,Telde,42,1885,87000,EME Bus,Cama,Wifi;Calefacción;Aire acondicionado,2026-10-10,2026-10-11
sra.4066@viajes.cl,536356,6033,Telde,Córdoba,37,772,76000,Monbus,Cama,Agua;Baño;Wifi,2026-10-12,2026-10-12
srsavile@viajes.cl,536357,9912,Chiclana de la Frontera,Huelva,49,887,150000,El Rápido Internacional,Cama,Calefacción;Aire acondicionado;Asientos reclinables,2025-04-15,2025-04-15
sra.5340@viajes.cl,536365,29364,Badalona,Granada,34,1696,192000,Flecha Bus,Cama,Asientos reclinables;Calefacción;Wifi,2025-04-21,2025-04-22
sra.7161@viajes.cl,536411,39811,Tarrasa,Torremolinos,45,2370,112000,Condor Bus,Cama,Baño;Agua;TV,2025-07-18,2025-07-19
josOo7730@viajes.cl,536417,32509,Bilbao,Cerdañola del Vallés,49,672,174000,Buses Nilahue,Cama,Aire acondicionado;Agua;Wifi,2026-10-05,2026-10-05
RamOInsepOUlveda@viajes.cl,536418,39703,cerdañola del vallés,Majadahonda,39,502,41000,ADO,Semi-cama,Wifi;Baño;Agua,2026-10-05,2026-10-05
teodoro9248@viajes.cl,536431,34540,Coslada,Telde,40,1972,178000,Estrella Roja,Cama,Asientos reclinables;TV;Wifi,2026-04-29,2026-04-30
EmiliavillagOImez@viajes.cl,536432,38211,León,Parla,40,1266,120000,Flecha Bus,Cama,Agua;Aire acondicionado;TV,2025-07-23,2025-07-23
Magdalenaperea@viajes.cl,536435,83122,Parla,Murcia,31,1532,160000,Buses Nilahue,Cama,Calefacción;Baño;TV,2025-07-25,2025-07-26
AndrOosvanegas@viajes.cl,536442,65287,sanlúcar de barrameda,CHICLANA DE LA FRONTERA,34,393,61000,Crucero del Norte,Semi-cama,Comida;Baño;Asientos reclinables,2025-11-04,2025-11-04
jecaol@viajes.cl,536450,55346,Chiclana de la Frontera,Alcorcón,34,1742,172000,Greyhound,Cama,Calefacción;TV;Comida,2025-11-11,2025-11-12
MarOAavOolez@viajes.cl,536456,56531,talavera de la reina,Coslada,31,1005,178000,BoltBus,Cama,Comida;Asientos reclinables;Wifi,2026-01-05,2026-01-05
srhuolso@viajes.cl,536461,61721,Cádiz,Cartagena,35,236,37000,Via Bariloche,Normal,Wifi;Baño;Comida,2026-11-01,2026-11-01
