nombre,run,0,correo,nombre_usuario,contrasena,telefono_contacto,jornada,isapre,contrato,codigo_reserva,codigo_agenda,fecha,monto,cantidad_personas,estado_disponibilidad,numero_viaje,lugar_origen,lugar_llegada,fecha_salida,fecha_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,tipo_de_bus,comodidades,escalas,clase,paradas
,5192314,6,,srmadecaalpo,N8A2534k,"+56 9 3876 5390",Nocturno,"Más vida","Full time",536796,64111,2025-04-01,544000,4,"No disponible",90552,Arrecife,"POZUELO DE ALARCóN!!!",2026-02-01,,,1306,136000,,,{},{},"Clase económica",{}
"Débora Badillo Olivárez",8937801,10,,Déboraolivárez,rdvCJ2YwYk1B1Jc,,Diurno,Colmena,,536813,69292,2025-08-30,375000,5,"No disponible",10691,Orense,JAéN!!!,2026-02-20,2026-02-21,,2778,75000,"El Rápido Internacional",Cama,"{TV,Comida,Wifi}",,,{}
"Anita Campos Holguín",18208303,8,,ancaho,oYCZV3Z8dLl84,+56-2-3405-3885,Nocturno,Consalud,,536858,64867,2025-04-01,,10,"No disponible",,"Roquetas de Mar",Ceuta,2025-07-22,2025-07-24,43,3493,87000,Turbus,Cama,"{""Asientos reclinables"",""Aire acondicionado"",TV}",{},,
,12726817,7,,tedeva,p4hjAGzSo0a,"+56 2 5733 1374",Nocturno,Fonasa,,537025,,2025-02-18,3104000,8,"No disponible",62464,Irún,ALGECIRAS!!!,2025-03-16,2025-03-18,28,3696,388000,AVE,,"{Comida,TV,Baño,""Asientos reclinables"",""Aire acondicionado"",Agua,Wifi}",,,"{Sabadell,Elda,León}"
"Virginia Quezada Paredes",14667629,4,,virginia7918,,"+56 2 2606 7934",Nocturno,Banmédica,"Full time",537258,71412,2025-06-30,-549000,9,"No disponible",18966,Linares,Fuenlabrada,2026-01-12,2026-01-12,42,1008,,,,,{},,"{Lérida,""Santa Lucía de Tirajana"",Ceuta,Cartagena}"
"Guillermina Muro Serrano",26909534,2,,guillermina4778,11Wwx95OCp,+56-9-7998-6346,Nocturno,,"Full time",537310,62348,2025/01/06,,,"No disponible",78429,Bilbao,JAéN!!!,2025/02/19,,30,126,192000,"Frontier Airlines",,{},{},"Clase económica",{}
"Sta. José María Nava Rivas",11484801,10,,sta.2358,Oe3GAYVSiIC6,,Diurno,Fonasa,"Full time",537378,66120,2025-01-13,540000,10,"No disponible",,,VIGO!!!,2025-03-15,2025-03-16,46,1591,54000,"EME Bus",Cama,"{Comida,Baño,Wifi}",{},,{}
"Beatriz Velásquez Collazo",20236420,9,,beveco,kwMFcL4ZNow8hZd,"+56 9 5182 9894",Nocturno,Consalud,"Part time",537387,61389,2025-04-22,,4,"No disponible",,Algeciras,VALDEMORO!!!,2025-04-28,2025-04-29,,1450,155000,AVE,,,{},,{}
,10909112,10,,srcaquca,43IoZsAtTbmiH1,,Nocturno,Consalud,"Full time",538333,64505,2025/09/06,1376000,8,"No disponible",84794,gandía#,Mataró,2026/08/20,2026/08/22,,3682,172000,"Southwest Airlines",,,"{""Santiago de Compostela"",Leganés,Orihuela,Gijón,Valencia}","Primera clase",{}
"Graciela Soliz Venegas",10158142,10,,grsove,27cV4rJZpayEPy,"+56 9 3982 7016",,Fonasa,"Full time",538387,,2026/03/22,114000,2,"No disponible",70659,rubí#,Fuenlabrada,2026/09/29,,41,2715,57000,,Cama,"{Baño,Wifi,Agua}",{},,{}
"Sr. Gilberto Miranda Angulo",3591918,10,,Sr.angulo,3PG0nahF,"+56 2 2803 4777",Nocturno,Consalud,"Part time",538556,,2025-08-13,,9,"No disponible",2283,Guadalajara,Ceuta,2026-05-30,,42,,85000,"Condor Bus",Cama,"{Calefacción,Wifi,Agua}",{},,{}
"Dolores Urías Calderón",22786287,4,,dolores9638,enHQHFt77RoTPF,"+56 2 0005 9250",Diurno,Consalud,"Full time",,64608,2025-01-19,708000,6,"No disponible",,,MATARó!!!,2025-08-08,2025-08-08,96,,118000,Renfe,,{},{},,"{Sevilla,Parla}"
"Miguel Guajardo Vázquez",26250429,10,,Miguelvázquez,aL5LFWAo7sm,"+56 9 3880 5224",Nocturno,"Más vida","Part time",539816,61517,2025-03-20,-360000,9,,,Alcobendas,"Collado Villalba",2025-12-24,2025-12-24,41,1357,40000,"ZFBH (Bosnia y Herzegovina)",,"{Comida,Baño,""Asientos reclinables""}",{},,"{""Talavera de la Reina"",""La Línea de la Concepción"",Orihuela}"
,23643738,8,,Maríaybarra,GNl1UCpB,+56-9-3830-6002,Diurno,Consalud,"Full time",539853,71328,2025/03/20,,10,"No disponible",6224,Lérida,Segovia,2025/10/18,2025/10/19,22,2771,293000,,,{},"{Madrid,Rivas-Vaciamadrid,""Chiclana de la Frontera""}",,{}
"Sta. Sara Lovato Leyva",6252354,9,,,zdDrHNK23zdc,,Nocturno,Banmédica,"Part time",539987,62543,2025-02-09,610000,10,"No disponible",46274,torrelavega#,"Santa Lucía de Tirajana",2025-06-23,2025-06-25,41,4075,61000,Damas,Cama,"{Baño,""Aire acondicionado"",TV}",,,{}
"Lorena Gálvez Bétancourt",0,6,,lorena6307,HnMOgBjm0,"+56 9 1998 1093",Nocturno,Colmena,"Part time",541211,61175,,200000,4,"No disponible",23759,Granada,VALENCIA!!!,2025-06-07,2025-06-07,87,,50000,"Copa Airlines",,{},{},"Clase económica",
"Jesús Gómez Barrientos",23797571,5,,Jesúsbarrientos,EbiELZ5giGVSPtJs,,Diurno,Colmena,"Part time",541469,67217,2025-02-26,660000,5,"No disponible",19748,"san sebastián#",Getafe,2025-06-24,2025-06-24,,,132000,"CP (Portugal)",,"{TV,Calefacción,""Asientos reclinables""}",{},,{Paterna}
"Armando Saucedo Naranjo",3482682,10,,arsana,hKx1Mn5Sg,"+56 9 8778 5876",Diurno,Fonasa,"Part time",541521,,,-1848000,6,"No disponible",13430,,,2026-02-07,2026-02-09,65,3317,308000,Qantas,,{},"{""San Cristróbal de la Laguna"",Zaragoza,""Chiclana de la Frontera"",Tarragona}","Primera clase",{}
"Luis Quesada Figueroa",21597388,3,,luqufi,NZFL4uaUz9hxo2,"+56 9 6026 1148",Nocturno,Consalud,"Full time",,61666,2025/01/18,,2,"No disponible",,Logroño,Ávila,2025/02/11,2025/02/12,49,,73000,"EME Bus",Cama,"{""Asientos reclinables"",""Aire acondicionado"",Agua}",{},,{}
"Sra. Guadalupe Alcala Vela",10374581,10,,sra.2927,X6SEh2iH,,Nocturno,"Más vida","Full time",,64825,2025-10-30,-1575000,7,"No disponible",92470,Zaragoza,"Dos Hermanas",2026-06-14,2026-06-16,,4099,225000,EasyJet,,,"{Benidorm,""Collado Villalba""}","Primera clase",{}
"Raúl Navarrete Sepúlveda",3125751,4,,ranase,RRihb9Ay,+56-2-8603-6813,Diurno,Colmena,"Full time",542489,,2025-03-04,216000,6,"No disponible",28946,"Pozuelo de Alarcón","San Fernando",,2026-09-29,44,151,36000,,Normal,"{""Aire acondicionado"",Baño,Calefacción}",,,{}
,28376349,8,,levaco,muaJ1uOqa2Ui9,"+56 9 9601 2645",Diurno,,"Part time",542511,64773,2025-01-03,25000,5,"No disponible",38665,,"LAS PALMAS DE GRAN CANARIA!!!",2025-01-04,2025-01-04,,165,5000,Turbus,Normal,"{Comida,Wifi,Calefacción}",{},,{}
"Federico Estrada Alonzo",9726456,10,,federico6249,HtEZMgyT7Jt7V,"+56 9 1307 8960",Diurno,Fonasa,"Part time",542535,67132,2025-06-28,171000,3,"No disponible",18641,,Baracaldo,,2025-08-26,33,3254,57000,Turbus,,"{TV,Wifi,Calefacción}",{},,{}
"Sta. Teodoro Fajardo Trejo",23871789,2,,Sta.trejo,GGnuQP9VyiG0c,,Diurno,,"Part time",542852,65880,2025-01-06,185000,1,"No disponible",38353,Jaén,Getafe,2025-01-11,2025-01-11,80,502,185000,"ŽFBH (Bosnia y Herzegovina)",,,,,{Viladecans}
"Ramiro Casárez Villarreal",25739395,10,,Ramirovillarreal,,"+56 9 7179 1685",Diurno,Fonasa,,543655,,2026-07-17,520000,8,"No disponible",46782,Fuenlabrada,Elche,2026-09-18,2026-09-19,,1574,65000,"Primera Plus",Cama,"{""Aire acondicionado"",Wifi,Baño}",{},,{}
"Sr. Ernesto Cervantes Linares",1641593,6,,srerceli,Idx40pPrNl0yE,"+56 9 1156 4321",,Colmena,"Full time",543873,66335,2025-01-12,71000,1,"No disponible",18198,,"SANTA LUCíA DE TIRAJANA!!!",,2025-03-17,30,2850,71000,Andesmar,Cama,"{Wifi,""Aire acondicionado"",Comida}",{},,
"Sr. Julio Rojo Báez",13218837,8,,,,"+56 9 7784 7590",Nocturno,"Más vida","Full time",544247,70826,2025-03-29,186000,2,"No disponible",58297,Albacete,Cartagena,2025-07-03,,48,,93000,Damas,Cama,"{TV,Baño,""Aire acondicionado""}",{},,{}
"Clemente Venegas Lebrón",26571700,4,,clvele,fmiMz5bFOpv,"+56 2 4883 7810",Diurno,Fonasa,,544442,61518,2025-03-15,-630000,6,"No disponible",,Ponferrada,"SANTA CRUZ DE TENERIFE!!!",2025-04-13,2025-04-13,10,,105000,,,"{Comida,Baño,""Aire acondicionado""}",{},,{}
"Anita Luna Villaseñor",26397153,1,,anluvi,w55LrjD1mSNYUD,"+56 2 9341 3035",Diurno,"Más vida","Full time",544491,62138,2025-05-17,-524000,,,15245,Alcobendas,Orense,2026-10-25,2026-10-26,49,2516,131000,"EME Bus",,,{},,{}
"Sra. Sancho Arenas Pagan",0,1,,srsaarpa,mnN0g7TrNL4jDLyb,,Diurno,Fonasa,"Part time",544542,62148,2025-11-05,776000,,"No disponible",63759,"Palma de Mallorca",Pamplona,,2026-11-10,54,2722,97000,"Qatar Airways",,{},"{""El Puerto de Santa María""}","Clase ejecutiva",{}
