nombre,run,0,correo,nombre_usuario,contrasena,telefono_contacto,puntos,codigo_agenda,etiqueta,codigo_reserva,fecha,monto,cantidad_personas
"Sara Quiñones Huerta",0,1,,,u61QZJrt,,2916,,"Salida con Amigos",536567,2025-03-23,1440000,10
,2773700,5,,,zDZTZtbHPkk6Iq2K,"+56 2 0534 2773",9359,70888,"Cena de Trabajo",,2025-10-04,166000,
"Francisco Vigil Trejo",2868429,10,,,2TA8HtCoV9K,"+56 9 5837 1650",9192,,"Salida con Amigos",536628,2025-02-20,,
"Clemente Ledesma Arroyo",0,10,,Clementearroyo,bv94adhTTH,"+56 2 9630 2628",8183,63802,"Salida con Amigos",,,99000,1
,0,9,,,NjrfJM0hfF2JHvcz,"+56 9 7783 8226",5239,62800,,537316,2025/07/23,346000,2
,16462509,5,,,ufZ5GDeEX,"+56 2 6537 4610",8967,,Aniversario,537686,2025-07-17,501000,
"Carla Lomeli Roldán",0,10,,caloro,KOeOdXukZ95Rrk,,3625,65696,,537759,2025/07/01,141000,1
,29549611,8,,elargu,fYm2HRY1Yg6rwBtu,"+56 2 4608 0138",,,"Salida con Familia",,2026-08-29,750000,5
"Sr. Graciela Delgado Olvera",26469080,3,,,76jYHRKNTrUqq,"+56 2 1473 6274",,,"Salida con Amigos",537984,2025/02/25,1336000,
,10228588,10,,isalza,Zi5CZkssokRt1,,7544,67250,"Salida con Familia",538084,2026-03-20,1984000,
"Claudio Reynoso Ramón",0,10,,clrera,oH0i32f2uK3BX8t,,,62896,"Cena de Trabajo",538157,2025-01-05,-1584000,8
"Irene Covarrubias Salcido",2093710,10,,ircosa,,"+56 2 5399 5503",9972,71850,,,2025-09-16,3552000,8
"Adela Alarcón Chávez",16808276,2,,adalch,,+56-2-8267-5751,,65752,"Salida con Familia",,2025-02-19,52000,
"Ángela Gaitán Ceballos",0,7,,Ángelaceballos,ZuNG3bS9HIgw8,,6376,,"Salida con Amigos",538486,2025-12-03,,3
"Miguel Ángel Cantú Gaona",3082985,9,,Miguelgaona,,,4022,71582,Aniversario,,,312000,3
,0,2,,alejandra912,J8mnjcVZT2gxv,,3460,,"Salida con Amigos",538540,2025-04-29,-1737000,9
"Raquel Arteaga Trujillo",4431126,7,,,lCwPXBH05w,"+56 2 8967 9371",6246,,Vacaciones,538560,2025-03-13,,
"Sr. Barbara Jasso Ledesma",7471817,5,,,,"+56 2 7700 8097",7947,,Aniversario,538589,2025-02-25,999000,
"Luis Miguel Pedraza Madrid",0,8,,luis6147,VY84EXPtPoUP7Snb,"+56 2 3042 1949",4624,,"Salida con Amigos",,,804000,6
"Amalia Gaitán Lucio",29770867,10,,amalia8441,vUykFg4jnG2PWAM9,"+56 2 4040 3738",839,67033,,538788,,,7
,5287740,7,,gldeca,,"+56 2 9557 0667",5706,67002,"Salida con Amigos",,,875000,7
,9631571,6,,Martínmojica,OQWWjCjDa4Aaf3Lb,,,71907,"Cena de Trabajo",539222,2025-01-09,291000,
"Raúl Mendoza Berríos",0,3,,,,,9907,67924,Aniversario,539429,2025-08-19,216000,4
,21672229,9,,Óscarvalles,Or03Ikv2MKSG,+56-2-7458-9539,7993,,"Cena de Trabajo",,2025-06-03,,7
"Ana María Candelaria Borrego",0,6,,ana6814,M691dd1hZWoJ0,,9181,66219,Aniversario,,2025-06-16,,5
,5896581,2,,,xflMB0k4HP,"+56 2 9460 7491",9513,66987,,,2025-02-25,-1001000,7
"Elsa Valenzuela Casas",15408215,8,,elvaca,,+56-9-4994-7606,,64702,"Cena de Trabajo",,2025-07-09,,8
,29714278,10,,nibaza,1rEDl3fDhkR,,,61841,"Cena de Trabajo",539698,,57000,1
,4212864,3,,juhosa,yYpHQHa1z6k,,,68136,,539886,2025-07-24,1450000,10
,19925623,10,,Irenerolón,06lTAiWzA3SZ,,9886,,"Salida con Amigos",539916,2025-11-26,1310000,10
,26904753,4,,anqupo,Cb6HRiCntmc,,1038,63989,Vacaciones,539961,2025-09-26,,
"Sr. Inés Cantú Burgos",11291439,10,,sr.3966,,"+56 2 0269 9393",4489,68724,"Salida con Amigos",,,,6
,27090471,8,,sr.3737,hqL3S7iSap,"+56 2 0443 9490",443,,,540292,,2212000,7
"Elisa Espinal Beltrán",15391657,8,,elesbe,,+56-2-3154-1433,4818,,,540355,2025-08-19,,7
"Gabriel Almanza Benítez",15661113,1,,,f9PihuWzAyInrdYR,,,61864,Aniversario,,2025-06-20,1638000,6
"Sr. Ana Luisa Fajardo Llamas",11363388,3,,,p6KQKYuaSW0FL6D,,1374,,"Salida con Amigos",541203,2025-07-05,1288000,
,594013,10,,Sra.león,,"+56 9 1754 0976",1130,,"Salida con Familia",541246,2025-06-20,-690000,5
,8449061,10,,Sr.polanco,4DVHMV9wvWt2V3FK,"+56 2 6307 4194",,,"Salida con Amigos",541361,,1765000,5
"Joaquín Romero Gallegos",19183013,10,,,,"+56 2 5788 0388",9675,70327,"Salida con Amigos",541574,2025/11/17,,
"Marisol Toro Duarte",7552607,5,,Marisolduarte,gPI7D3EF,,6451,,"Cena de Trabajo",541754,2025-08-03,,
"Norma Muñiz Abeyta",0,10,,,I8sfNO9PuB7gJEm,"+56 2 3021 7553",,67509,,541957,2025-01-07,-756000,3
