"Ramón Cazares Galindo",7473184,8,RamOIngalindo@viajes.cl,racaga,nwDkW5nfoZHZ4aE,"+56 9 4502 0837",Nocturno,Fonasa,"Part time"
"Sta. María Elena Marroquín Solís",3280540,10,Sta.solOAs@viajes.cl,stmaelmaso,OZdPy6ZMbjfY5R,"+56 9 3083 1117",Diurno,Fonasa,"Part time"
"Débora Cerda Abrego",380222,1,DOoboraabrego@viajes.cl,déceab,oidvBZaQn2J,"+56 9 7966 9246",Nocturno,Fonasa,"Part time"
"Beatriz Camarillo Cazares",522617,1,Beatrizcazares@viajes.cl,Beatrizcazares,lJIOLAC7k,"+56 9 9743 3847",Nocturno,Banmédica,"Part time"
"Alfonso Abreu Jaimes",0,10,alfonso6673@viajes.cl,alfonso8400,joy4f1UxI5wcaLL,"+56 9 2214 5952",Diurno,"Más vida","Part time"
"Alfredo Gamez Agosto",22529924,2,algaag@viajes.cl,Alfredoagosto,FriWr4d0rwOr,"+56 2 1662 5058",Nocturno,"Más vida","Full time"
"Mayte Duarte Cardona",29345350,10,maduca@viajes.cl,maduca,GvuQVZ4hm9d3xV,"+56 2 5172 1954",Diurno,Banmédica,"Full time"
"María del Carmen Cardona Benavídez",6559483,8,marOAa5411@viajes.cl,Maríabenavídez,d4XG8KmRskK2,"+56 2 8690 2462",Nocturno,Colmena,"Part time"
"Samuel Curiel Rivas",8079407,10,sacuri@viajes.cl,sacuri,Qxqs21mnK4cBe,"+56 9 1960 4708",Nocturno,Colmena,"Part time"
"Rubén Monroy Quezada",1106917,7,rubOon2473@viajes.cl,Rubénquezada,PrSiZo4Gagu2G0,"+56 9 3117 9812",Nocturno,Banmédica,"Full time"
"Elena Garibay Henríquez",8690351,2,elena8997@viajes.cl,elena7908,OlcGiw09B,"+56 9 1289 1722",Diurno,Fonasa,"Part time"
"Óscar Gálvez Berríos",5158576,3,OIscar7270@viajes.cl,óscar9603,TY1rvLZfVbpU4Bk,"+56 2 0782 4794",Nocturno,Consalud,"Part time"
"Gonzalo Márquez Prado",25984791,5,Gonzaloprado@viajes.cl,Gonzaloprado,NieREzQ4628,"+56 9 7872 1064",Diurno,Fonasa,"Full time"
"Sr. Adela Martínez Olvera",16179761,8,sr.9835@viajes.cl,sr.1828,eyxqCpqD1YpcNr,"+56 9 8893 4008",Nocturno,"Más vida","Part time"
"Dorotea Garza Rodríquez",24123782,6,dogaro@viajes.cl,dorotea8804,Z6u07duRNH2,"+56 9 3987 2765",Diurno,Consalud,"Full time"
