marOAa1272@viajes.cl,536219,171,Reus,Badalona,88,3819,310000,ŽFBH (Bosnia y Herzegovina),TV;Comida;Asientos reclinables;Wifi;Calefacción;Aire acondicionado;Agua,Palma de Mallorca,2026-04-08,2026-04-10
pilar5483@viajes.cl,536254,70074,Cáceres,Santander,97,3071,339000,AVE,Asientos reclinables;Agua;TV;Calefacción;Comida;Wifi,Gijón;Algeciras,2025-08-29,2025-08-31
sr.8176@viajes.cl,536257,78902,Santander,Rubí,59,1033,73000,PKP (Polonia),TV;Calefacción;Agua,Sevilla;Hospitalet de LLobregat,2025-09-02,2025-09-02
inOos9109@viajes.cl,536300,44924,Badalona,Córdoba,41,2892,276000,ZSSK (Eslovaquia),Agua;Asientos reclinables;Calefacción;Aire acondicionado;Baño;TV,Mollet del Vallés;Ponferrada;Zamora,2026-11-22,2026-11-24
Raquelespino@viajes.cl,536318,32930,Segovia,Jaén,7,2476,282000,VR (Finlandia),Aire acondicionado;Agua;TV;Wifi;Baño,Collado Villalba;Arrecife;Dos Hermanas;Gecho;Valdemoro,2026-01-27,2026-01-28
mateo3420@viajes.cl,536323,10060,Jaén,San Cristróbal de la Laguna,78,2103,173000,Nederlandse Sp,Calefacción;Agua;Baño;TV,Estepona;Cádiz;Granada;Fuengirola,2026-02-01,2026-02-02
TimoteojimOAnez@viajes.cl,536324,67001,San Cristróbal de la Laguna,La Coruña,58,3212,123000,Amtrak,Aire acondicionado;Comida;Asientos reclinables;Wifi;Agua;Baño,Valdemoro;Telde;Sevilla;Oviedo,2026-02-02,2026-02-04
JosOoalmanza@viajes.cl,536373,43267,Pamplona,Santa Lucía de Tirajana,87,3610,336000,Deutsche Bahn (DB),Agua;Calefacción;Aire acondicionado;Asientos reclinables;Baño;Comida;TV,Torrejón de Ardoz;Granada;Molina de Segura;Castellón de la Plana,2026-06-22,2026-06-24
frsOede@viajes.cl,536381,90996,Sanlúcar de Barrameda,Ávila,87,3091,384000,Eurostar,Wifi;Baño;Aire acondicionado;Calefacción;Agua;Asientos reclinables,Benidorm;Móstoles;Mollet del Vallés;Molina de Segura,2026-01-19,2026-01-21
isallo@viajes.cl,536388,28190,Algeciras,Barcelona,7,3789,479000,SNCB (Bélgica),Wifi;Comida;Baño;Calefacción;TV;Agua;Aire acondicionado,Hospitalet de LLobregat;Sagunto,2025-04-15,2025-04-17
josefina2243@viajes.cl,536389,48433,Barcelona,Benalmádena,73,3797,229000,Deutsche Bahn (DB),Wifi;TV;Calefacción;Baño;Aire acondicionado;Comida;Asientos reclinables,Salamanca;Reus;Mérida;Sanlúcar de Barrameda,2025-04-17,2025-04-19
miguel4767@viajes.cl,536404,83513,Dos Hermanas,Vigo,93,2344,203000,NSB (Noruega),Calefacción;Wifi;Comida;Aire acondicionado;Agua,Collado Villalba;Telde;Estepona;Castellón de la Plana;Coslada,2025-02-19,2025-02-20
Florenciaarias@viajes.cl,536415,60670,Gerona,El Puerto de Santa María,82,3773,354000,TGV (SNCF),Calefacción;Agua;Comida;Baño;Asientos reclinables;TV;Aire acondicionado,Lorca;Ferrol;Mataró,2026-07-03,2026-07-05
Maricarmenfranco@viajes.cl,536416,93383,valencia,FUENGIROLA,58,1724,114000,Trenitalia,Wifi;Calefacción;Asientos reclinables;Agua,Estepona;Torrelavega;Calahorra;Vitoria,2025-07-09,2025-07-10
adriana2375@viajes.cl,536419,42056,santa lucía de tirajana,Gecho,57,2927,101000,CD (República Checa),Wifi;Asientos reclinables;Aire acondicionado;Comida;Baño;TV,Sevilla;Jerez de la Frontera,2026-11-21,2026-11-23
bernardo8297@viajes.cl,536425,27791,Gecho,Ponferrada,49,660,35000,Trenitalia,,Badajoz;Segovia;Ávila,2026-11-28,2026-11-28
Danielaarguello@viajes.cl,536430,95904,Pamplona,Badalona,20,208,95000,TGV (SNCF),,Salamanca;Gerona;Sevilla,2025-09-18,2025-09-18
paarfi@viajes.cl,536457,46214,ponferrada,LUGO,33,3503,298000,ÖBB (Austria),Baño;Comida;TV;Calefacción;Agua;Wifi,Alcorcón;Gecho;Cuenta;Motril,2025-04-02,2025-04-04
