nombre,run,dv,correo,nombre_usuario,contrasena,telefono_contacto,puntos,codigo_agenda,etiqueta,codigo_reserva,fecha,monto,cantidad_personas
"Rodrigo Parra Adame",3.763.600,2,ropaad@marmol.ceele,Rodrigoadame,oCzMT1HV,"+56 9 9413 4683",4509,62294,"Salida con Familia",537589,2025/01/20,1176000,8
"Luz Zavala Velásquez",7025412,3,LuzvelOesquez@marmol.com,luz2888,eVmoWeXdE8UdKN3m,"+56 2 3340 2787",4505,61596,"Salida con Amigos",537612,2025-01-13,321000,3
"Ricardo Cornejo Borrego",10050736,6,Ricardoborrego@marmol.com,ricobo,7HI6nw9ZoUIi,"+56 9 6191 3372",5616,65356,"Salida con Amigos",537613,2026-09-04,3360000,8
"Ricardo Cornejo Borrego",10050736,6,Ricardoborrego@marmol.com,ricobo,7HI6nw9ZoUIi,"+56 9 6191 3372",5616,65356,"Salida con Amigos",537616,2026-05-18,232000,8
"Ana Sierra Benavídez",1722271,6,AnabenavOAdez@edubus.ceele,ansibe,hBzp14EYD9W,"+56 2 9073 3130",1189,66017,"Salida con Familia",537621,2025-02-05,1032000,6
"Verónica Yáñez Aragón",28148325,0,veyOear@@edubus.cal,verónica6959,JBGaXslPt5ct2,"+56 9 6568 7111",6050,67734,Vacaciones,536195,2025-01-21,365000,5
"Verónica Yáñez Aragón",28148325,0,veyOear@edubus.cal,verónica6959,JBGaXslPt5ct2,"+56 9 6568 7111",6050,67734,Vacaciones,536196,2025-02-08,1815000,5
"Verónica Yáñez Aragón",28148325,0,veyOear@edubus.cal,verónica6959,JBGaXslPt5ct2,"+56 9 6568 7111",6050,67734,Vacaciones,536203,2025-02-03,1500000,5
"Sancho Corral Grijalva",15695071,8,Sanchogrijalva@wass.com,Sanchogrijalva,4FpjEN0w2,"+56 9 1762 3200",8834,72032,Aniversario,536207,2025-02-03,680000,4
"José Urías Arce",22594065,7,JosOoarce@wass.com,jourar,FO3hK5sAr60tM3Qv,"+56 9 1011 3842",3631,68618,"Salida con Familia",536208,2025/01/10,1316000,7
"José Urías Arce",22594065,7,JosOoarce@wass.com,jourar,FO3hK5sAr60tM3Qv,"+56 9 1011 3842",3631,68618,"Salida con Familia",536210,2025-03-17,630000,7
"José Urías Arce",22594065,7,JosOoarce@wass.com,jourar,FO3hK5sAr60tM3Qv,"+56 9 1011 3842",3631,68618,"Salida con Familia",536211,2025-02-23,777000,7
"Javier Barrios Partida",7129015,8,javier7109@edubus.cal,Javierpartida,tr3vH7VrYenK,"+56 2 2030 1743",7210,62478,Aniversario,536212,2025-01-18,1710000,9
"Javier Barrios Partida",7.129.015,8,,Javierpartida,,,,62478,,536213,2025/01/19,396000,9
"Miguel Ángel Lozada Cabrera",8904137,6,Miguelcabrera@outluc.com,Miguelcabrera,8A22Hx2rzPv8,"+56 9 2711 3385",1275,63981,"Salida con Amigos",536218,2025-04-10,786000,6
"Gregorio Navarrete Lomeli",18280298,0,grnalo@edubus.cal,Gregoriolomeli,YJZzx84C,"+56 9 3662 8276",3952,70893,"Cena de Trabajo",536219,2025-01-14,1240000,4
"Jorge Medrano Rubio",19923408,0,Jorgerubio@viajesanma.com,jorge3958,Cu98ekEN1VCjp,"+56 9 9525 0318",7290,68425,"Salida con Familia",536223,2025-08-16,325000,5
"Jorge Medrano Rubio",19923408,0,Jorgerubio@viajesanma.ceele,jorge3958,Cu98ekEN1VCjp,"+56 9 9525 0318",7290,68425,"Salida con Familia",536230,2026/05/12,-630000,5
"Sra. Barbara Badillo Manzanares",10.409.330,2,Sra.manzanares@wass.com,sra.5162,JybLcTOd0PsPOgQ,"+56 9 1253 4997",1285,67364,"Cena de Trabajo",536237,2025-06-08,574000,7
"Pilar Ureña Rolón",11380697,4,pilar808@marmol.com,Pilarrolón,4pKtUTe7IMSEwf,+56-2-9763-8895,8146,63101,"Cena de Trabajo",536238,2025-03-12,1890000,5
"Pilar Ureña Rolón",11380697,4,pilar808@marmol.com,Pilarrolón,4pKtUTe7IMSEwf,"+56 2 9763 8895",8146,63101,"Cena de Trabajo",536240,2025-01-29,1085000,5
"Antonio Archuleta Nájera",25034801,0,anarnOe@marmol.com,antonio6129,4N7Das6S0zIa,"+56 2 4217 4189",5875,64076,"Cena de Trabajo",536246,2025-05-11,1920000,4
"Antonio Archuleta Nájera",25034801,0,anarnOe@marmol.com,antonio6129,4N7Das6S0zIa,"+56 2 4217 4189",5875,64076,"Cena de Trabajo",536254,2025-01-24,1356000,4
"Antonio Archuleta Nájera",25034801,0,anarnOe@marmol.com,antonio6129,4N7Das6S0zIa,"+56 2 4217 4189",5875,64076,"Cena de Trabajo",536257,2025-05-02,292000,4
"Marcos Delrío Gaona",6163899,7,madega@marmol.com,marcos301,YNbMI9F4,"+56 9 6547 1215",345,67906,"Cena de Trabajo",536262,2026-02-23,568000,8
"Marcos Delrío Gaona",6163899,7,madega@marmol.com,marcos301,YNbMI9F4,"+56 9 6547 1215",345,67906,"Cena de Trabajo",536263,2026-01-20,536000,8
"Raquel Elizondo Solís",6013756,0,raquel2524@tourket.com,raquel4703,x2VPsyIR8,"+56 2 3654 2641",4058,61747,"Salida con Familia",536269,2026-04-13,693000,7
"Guadalupe Moya Espinal",12707351,1,guadalupe2405@wass.com,guadalupe2953,WSsIsrkw25,"+56 9 4257 6107",5952,69779,"Salida con Amigos",536277,2025-04-22,520000,4
"Guadalupe Moya Espinal",12707351,1,guadalupe2405@wass.com,guadalupe2953,WSsIsrkw25,"+56 9 4257 6107",5952,69779,"Salida con Amigos",536278,2026-01-24,680000,4
"Guadalupe Moya Espinal",12707351,1,guadalupe2405@wass.com,guadalupe2953,WSsIsrkw25,"+56 9 4257 6107",5952,69779,"Salida con Amigos",536279,2025-08-24,512000,4
"Dolores Estévez Caldera",12277984,0,,doesca,DRj9nPfijLq584MD,,892,,,536280,2025-04-19,158000,
"Dolores Estévez Caldera",12277984,0,dolores9456@edubus.cal,doesca,DRj9nPfijLq584MD,"+56 9 0355 7055",892,64727,"Salida con Familia",536281,2025-03-12,232000,2
"Dolores Estévez Caldera",12277984,0,dolores9456@edubus.cal,doesca,DRj9nPfijLq584MD,"+56 9 0355 7055",892,64727,"Salida con Familia",536289,2025-02-24,164000,2
"Esteban Robles Godoy",29046506,0,Estebangodoy@marmol.com,esteban9301,O70v99F9zsNe,"+56 9 4849 3673",9443,66951,Aniversario,536297,2025-08-24,104000,1
"Esteban Robles Godoy",29046506,0,Estebangodoy@marmol.com,esteban9301,O70v99F9zsNe,"+56 9 4849 3673",9443,66951,Aniversario,536298,2026-05-02,131000,1
"Esteban Robles Godoy",29.046.506,0,,esteban9301,,,9443,66951,,536299,2025-01-06,,1
"María Elena Toro Alejandro",8049346,0,maeltoal@marmol.com,maría2424,hHommL6bn,"+56 2 4812 5763",3358,66492,"Salida con Amigos",536300,2026-04-25,1932000,7
"Blanca Gallegos Montaño",931793,7,BlancamontaO�o@wass.ceele,blgamo,BOuitj1yal3e26T,"+56 2 4797 2226",3858,65420,Vacaciones,536305,2026-01-12,-178000,2
"Benjamín Córdova Marín",14910264,7,benjamOAn4313@edubus.cal,becóma,ca10i7KiU2VPwOg,"+56 2 6979 0705",8735,71022,"Cena de Trabajo",536310,2026-01-28,1592000,8
"Benjamín Córdova Marín",14910264,7,benjamOAn4313@edubus.cal,becóma,ca10i7KiU2VPwOg,"+56 2 6979 0705",8735,71022,"Cena de Trabajo",536316,2025-04-15,864000,8
"Benjamín Córdova Marín",14.910.264,7,benjamOAn4313@edubus.cal,becóma,ca10i7KiU2VPwOg,"+56 2 6979 0705",8735,71022,"Cena de Trabajo",536317,2025-01-26,488000,8
"Felipe Godínez Segovia",21376206,0,fegose@viajesanma.com,fegose,J3mv8GarwmXP3ls,"+56 9 0054 6063",6459,71613,"Salida con Familia",536318,2025-11-08,1974000,7
"Felipe Godínez Segovia",21376206,0,fegose@@viajesanma.com,fegose,J3mv8GarwmXP3ls,"+56 9 0054 6063",6459,71613,"Salida con Familia",536323,2025-11-11,1211000,7
"Felipe Godínez Segovia",21376206,0,fegose@@viajesanma.com,fegose,J3mv8GarwmXP3ls,+56-9-0054-6063,6459,71613,"Salida con Familia",536324,2026/01/23,861000,7
"Marcela Bustos Ruelas",3903785,8,maburu@marmol.com,maburu,gc7pbohzLwYF3,"+56 2 5953 9398",4361,65151,"Salida con Amigos",536328,2025-07-04,800000,5
"Marcela Bustos Ruelas",3903785,8,maburu@marmol.com,maburu,gc7pbohzLwYF3,"+56 2 5953 9398",4361,65151,"Salida con Amigos",536332,2025-01-23,1870000,5
"Sta. Rodrigo Ramos Vallejo",3773089,0,Sta.vallejo@@tourket.com,strorava,z5yk0z9z1hAO,"+56 2 5778 1583",1328,62494,"Salida con Familia",536333,2026/03/15,330000,2
"Alberto Frías Gaitán",4098846,7,AlbertogaitOen@outluc.com,alfrga,Eh484WYgHwyf,"+56 9 6508 3119",2923,71671,Vacaciones,536340,2025-05-09,148000,2
"Alberto Frías Gaitán",4098846,7,AlbertogaitOen@outluc.com,alfrga,Eh484WYgHwyf,"+56 9 6508 3119",2923,71671,Vacaciones,536341,2026-07-14,-294000,2
"Alberto Frías Gaitán",4098846,7,AlbertogaitOen@@outluc.com,alfrga,Eh484WYgHwyf,"+56 9 6508 3119",2923,71671,Vacaciones,536342,2026-06-11,380000,2
"Roberto Delao Lovato",17545422,5,rodelo@marmol.com,roberto4727,de3KY7eF8sBuR,"+56 9 2808 4782",1422,65376,"Salida con Amigos",536343,2025-02-19,3310000,10
"Sra. Graciela Lozano Aparicio",19786219,0,Sra.aparicio@wass.com,sra.1107,f6Fh65zTU4APLUV,"+56 2 6014 5293",1013,71135,"Salida con Familia",536344,2025-01-12,888000,4
"Sra. Graciela Lozano Aparicio",19786219,0,Sra.aparicio@wass.com,sra.1107,f6Fh65zTU4APLUV,+56-2-6014-5293,1013,71135,"Salida con Familia",536347,2025-03-22,-352000,4
"Sr. Graciela Aguayo Porras",11228187,8,Sr.porras@viajesanma.com,Sr.porras,HZjbh3SSl6oE,"+56 2 6948 6440",1915,65035,Aniversario,536348,2025-09-11,1665000,9
"Sr. Graciela Aguayo Porras",11228187,8,Sr.porras@viajesanma.com,Sr.porras,HZjbh3SSl6oE,"+56 2 6948 6440",1915,65035,Aniversario,536354,2026-07-18,783000,9
"Sr. Graciela Aguayo Porras",11228187,8,Sr.porras@viajesanma.com,Sr.porras,HZjbh3SSl6oE,"+56 2 6948 6440",1915,65035,Aniversario,536356,2025-02-20,684000,9
"Daniel Llamas Espino",23174998,5,Danielespino@edubus.cal,daniel115,D9NiFftWewq4YEi,"+56 2 5851 6852",4979,61924,Aniversario,536357,2025-02-02,450000,3
"Carla Lomeli Roldán",1438951,2,caloro@marmol.com,caloro,KOeOdXukZ95Rrk,"+56 2 8865 3439",3625,62940,"Salida con Amigos",536365,2025-01-05,-1344000,7
"Tomás Magaña Cruz",4221888,0,tomacr@edubus.cal,tomás978,TlqizFH4u3WXdHq3,"+56 9 1019 0668",3735,64510,"Cena de Trabajo",536373,2025-05-18,3360000,10
"Manuel Palacios Bustamante",23772488,7,mapabu@viajesanma.com,Manuelbustamante,oj7aLTKMP,"+56 9 9646 0493",3565,69128,"Salida con Amigos",536378,2025-05-24,490000,10
"Manuel Palacios Bustamante",23772488,7,mapabu@viajesanma.com,Manuelbustamante,oj7aLTKMP,"+56 9 9646 0493",3565,69128,"Salida con Amigos",536379,2025-06-20,2800000,10
"Virginia Lozada Alcántar",2413329,0,viloal@marmol.com,virginia722,BK5grO8F8,"+56 2 2243 4536",6226,61245,"Salida con Amigos",536381,2025-06-19,2304000,6
"Virginia Rocha Nazario",5034579,3,virona@marmol.com,virona,VnuAi1Br7,"+56 2 2354 1776",3927,66088,Vacaciones,536388,2025-02-03,3353000,7
"Virginia Rocha Nazario",5034579,3,virona@marmol.com,virona,VnuAi1Br7,"+56 2 2354 1776",3927,66088,Vacaciones,536389,2025-01-28,-1603000,7
"Virginia Rocha Nazario",5034579,3,virona@marmol.ceele,virona,VnuAi1Br7,+56-2-2354-1776,3927,66088,Vacaciones,536396,2025-04-03,1407000,7
