nombre,correo,contrasena,username,telefono_contacto,run,puntos,jornada,isapre,contrato,dv
Sr. Esperanza Arias Zaragoza,sr.3134211@viajes.cl,8Fj4kntcmWs6O,Sr.zaragoza542,+56 2 7287 9157,6227631,,Diurno,Colmena,Part time,2
María del Carmen Velásquez Paredes,Maríaparedes646@outluc.com,7pBFv1iv4zd,,+56 2 2948 9493,10481144,0,,,,2
Victoria Sepúlveda Nava,visena471@viajesanma.com,aS9BJ2dlc,Victorianava247,+56 9 5159 8002,3375352,20056,,,,7
Sra. Horacio Gaona Ávalos,sra.8759194@wass.com,Uc53OiObnyagAOnw,Sra.ávalos708,+56 9 0367 1632,23556293,7710,,,,6
Ariadna Ocasio Segura,Ariadnasegura928@edubus.cal,5fKk5WJxOUG,Ariadnasegura481,+56 2 4698 7846,10357110,29142,,,,3
Alejandra Serrato Escamilla,Alejandraescamilla109@marmol.com,xO08PUV8vNJXel,alsees459,+56 9 3568 0939,27792361,0,,,,0
Vicente Tórrez Angulo,vitóan636@viajes.cl,B3X5uZ6F9W,vicente4434665,+56 9 9927 2377,8884197,,Nocturno,Consalud,Full time,2
Amalia Torres Macías,amalia8518314@viajes.cl,,amalia5742883,+56 9 2320 7364,29209609,,Nocturno,Consalud,Part time,7
Sta. Vicente Camacho Delvalle,Sta.delvalle496@tourket.com,LlkghN7Vs,sta.8228233,+56 2 1779 8679,16663834,,,,,8
Laura Pedroza Alejandro,lapeal861@marmol.com,VCX2x12FTfj2kOn,lapeal602,+56 9 8955 3193,23971030,2628,,,,1
Felipe Malave Guzmán,femagu861@outluc.com,0EM0qX3yBNe,felipe389913,+56 9 9829 3364,13634972,-3776,,,,4
Ana Luisa Arevalo Mendoza,ana5979252@marmol.com,wte9d5FMzeD,ana5819719,+56 2 9107 0862,14171611,0,,,,5
Horacio Núñez Zamudio,honúza973@viajes.cl,LjBB5s2XwjHc0H2A,horacio7004884,+56 9 1252 8240,3033322,,Diurno,Banmédica,Part time,5
Javier Esquivel Pineda,,EfoLl0t3O5w3q,jaespi269,+56 9 7542 1937,13892845,,Diurno,Más vida,Full time,4
Germán Toledo Cuellar,germán8997308@tourket.com,YWsDia1EZn1Sx8,germán6811982,+56 2 4076 9906,28578767,3283,,,,K
Fernando Almaraz Rivero,fernando9516886@viajes.cl,XeXFRd6UX2p,fealri559,+56 9 0757 4618,4245897,,Nocturno,Más vida,,K
Gloria Castro Girón,Gloriagirón280@tourket.com,,glcagi501,+56 2 4706 4379,25658953,0,,,,2
María Eugenia Sosa Sisneros,maeusosi613@viajesanma.com,E3Kt56SlwwQQMrVN,maría3615408,+56 2 7181 0244,,396,,,,
,alicia4603247@outluc.com,,Aliciaportillo569,+56 9 6960 6562,26258786,0,,,,K
Gloria Esparza Saucedo,gloria5976977@marmol.com,1z8trupWyKUfN,glessa368,+56 9 8230 5946,7629293,,,,,0
Ricardo Oquendo Castillo,ricardo3973419@viajes.cl,Y24jZx1iRQ6gWAWe,ricardo6993336,+56 9 1353 1879,13675797,,Nocturno,Consalud,Part time,0
Sra. Rubén Valdez Lira,srruvali274@viajes.cl,RdyLTzvUA26g,sra.9801908,+56 2 4465 7016,28871279,,Diurno,Banmédica,Part time,4
,maricarmen7666586@edubus.cal,NHcqrhrdKnKeL3z,maricarmen1891224,+56 2 9241 1198,8356729,15447,,,,5
Rafael Canales Tamayo,Rafaeltamayo937@outluc.com,,Rafaeltamayo631,+56 2 9848 0163,14291542,0,,,,1
