id,nombre_anfitrion,contacto_anfitrion,descripcion,piezas,camas,banos
78570,Juan Carlos Ibarra Reynoso,,Relájate en un lugar tranquilo y acogedor,4,3,3
78655,Sra. Juan Carvajal Acevedo,+56 9 8489 5177,,6,4,4
78775,Sr. Homero Ruelas Esquivel,+56 2 1959 8982,,3,4,2
78795,Claudia Cabrera Armendáriz,,Ubicación céntrica con fácil acceso a atracciones turísticas,2,5,2
78803,María Teresa Zarate Quesada,+56 9 0388 0128,Aventúrate en la naturaleza y descansa en un lugar cómodo,6,,4
78878,Sr. Jerónimo Rael Reyes,+56 2 8804 8759,,5,5,
78902,,+56 9 6677 7721,Relájate en un lugar tranquilo y acogedor,,2,1
78977,Sr. Esperanza Guajardo Olmos,+56 2 3782 9917,Disfruta de una estadía en el corazón de la ciudad,,5,3
79005,Estela Flórez Estrada,,Aventúrate en la naturaleza y descansa en un lugar cómodo,3,2,3
79118,Victoria Frías Cotto,+56 2 3109 1737,Ideal para una escapada romántica,,5,2
79132,,+56 9 2505 6127,Experimenta el lujo y la comodidad en este alojamiento,3,4,2
79339,Mateo Aranda Núñez,+56 9 6598 5039,Relájate en un lugar tranquilo y acogedor,6,,3
79420,Armando Pedroza Garay,,Experimenta el lujo y la comodidad en este alojamiento,2,4,2
79495,,+56 9 8112 4192,Experimenta el lujo y la comodidad en este alojamiento,4,5,3
79517,,+56 9 0669 6313,,3,4,2
79548,Mónica Nazario Ceja,+56 9 3340 2297,Relájate en un lugar tranquilo y acogedor,,6,4
79580,Miguel Urrutia Medina,+56 9 0114 5258,Experimenta el lujo y la comodidad en este alojamiento,,3,4
79636,Manuela Nieto García,+56 2 4854 6109,Perfecto para familias y grupos grandes,,3,1
79703,Armando Holguín Orozco,+56 9 2885 3435,,,2,2
79765,Micaela Deleón Vaca,,,2,3,1
79960,María Soledad Fuentes Espinosa,+56 2 7277 4481,Disfruta de una estadía en el corazón de la ciudad,3,,2
79972,,+56 9 3549 1676,Disfruta de una estadía en el corazón de la ciudad,6,6,3
79993,Dorotea Carbajal Gaona,+56 9 4725 8707,,5,3,1
80132,Sta. Samuel Candelaria Aranda,,Aventúrate en la naturaleza y descansa en un lugar cómodo,3,4,2
80183,,+56 9 0834 2921,Experimenta el lujo y la comodidad en este alojamiento,3,2,3
80774,Sr. Carmen Posada Osorio,+56 2 7603 3481,,2,2,1
80882,Martín Heredia Gaitán,+56 2 2937 5193,,4,4,3
80900,David Aguirre Franco,+56 9 7032 5723,,4,,3
80940,,+56 2 6336 3868,Ideal para una escapada romántica,,3,3
80991,Jorge Valentín Marín,,,6,5,2
81055,Emilia Navarrete Fernández,+56 2 4005 5369,Experimenta el lujo y la comodidad en este alojamiento,3,2,
81062,Alejandro Garica Vega,+56 2 4424 3740,Aventúrate en la naturaleza y descansa en un lugar cómodo,2,,2
81091,María Elena Muro Sanches,+56 9 6533 8821,Relájate en un lugar tranquilo y acogedor,5,5,
81197,Raúl Matos Orta,+56 2 6619 7043,Experimenta el lujo y la comodidad en este alojamiento,,5,3
81478,Mario Cerda Barajas,+56 2 9380 3722,Ideal para una escapada romántica,6,4,
81507,Mateo Lucio Saucedo,+56 9 5273 8708,Aventúrate en la naturaleza y descansa en un lugar cómodo,5,,3
81727,Adán Villarreal Carbajal,+56 9 9483 8728,Relájate en un lugar tranquilo y acogedor,,3,1
81909,Jerónimo Uribe Ocasio,+56 2 6162 6399,Perfecto para familias y grupos grandes,5,4,
82003,,+56 9 4933 3990,Ideal para una escapada romántica,4,4,3
82072,Sta. Ariadna Armenta Moreno,+56 2 4659 6774,Aventúrate en la naturaleza y descansa en un lugar cómodo,,3,2
82272,Silvia Valles Rascón,+56 2 9349 6935,Relájate en un lugar tranquilo y acogedor,4,,2
82364,Esperanza Lara Piña,+56 9 5743 0763,Ideal para una escapada romántica,5,2,
82459,Francisca Acevedo Ballesteros,+56 2 9850 5958,,3,2,1
82534,Sr. Andrea Miramontes Meléndez,+56 9 1287 5763,,3,2,2
82580,,+56 9 3684 1135,Ubicación céntrica con fácil acceso a atracciones turísticas,6,5,4
82646,Sonia Gaitán Prado,+56 9 6422 0516,Descubre la historia de la ciudad desde tu ventana,4,6,
82771,José Barela Delao,+56 2 8529 1761,,6,4,4
82811,Óscar Pelayo Tapia,+56 9 5266 9970,,2,2,1
82974,,+56 2 7992 0034,,4,5,4
83026,Sra. Antonia Carranza Villa,+56 2 6838 7653,,5,5,3
83208,José Luis Marín Aguirre,,Ideal para una escapada romántica,6,5,3
83460,Sra. Mayte Becerra Echevarría,,Aventúrate en la naturaleza y descansa en un lugar cómodo,6,5,1
83794,Mario Padilla Gaytán,+56 9 7163 7866,Ideal para una escapada romántica,4,,3
83835,Ramón Godoy Galindo,+56 9 2823 1871,Descubre la historia de la ciudad desde tu ventana,6,,4
83998,Marisol Duran Cortés,+56 2 9004 6991,Aventúrate en la naturaleza y descansa en un lugar cómodo,6,,4
84073,Francisca Tirado Romero,+56 9 9585 3048,Ubicación céntrica con fácil acceso a atracciones turísticas,5,4,
84101,Pedro Moreno Barrientos,+56 9 4437 0817,Ideal para una escapada romántica,6,1,
84179,,+56 2 6948 4218,Disfruta de una estadía en el corazón de la ciudad,4,4,4
84282,María Teresa Noriega Delatorre,+56 9 9805 7229,,4,5,4
84350,Marco Antonio Sandoval Echevarría,+56 2 6792 4943,Ideal para una escapada romántica,3,3,
84374,Sergio Armenta Cornejo,+56 2 5362 7483,Perfecto para familias y grupos grandes,2,,
84506,Sta. Graciela Tejeda Villa,+56 2 7637 2487,,3,3,1
84711,Maricarmen Portillo Velasco,+56 9 4713 0810,Experimenta el lujo y la comodidad en este alojamiento,3,,1
85027,,+56 9 4305 3925,Ideal para una escapada romántica,3,,1
85101,José Saldaña Navarrete,,Experimenta el lujo y la comodidad en este alojamiento,,5,3
85257,Lorena Gamboa Ozuna,+56 2 5084 9831,Experimenta el lujo y la comodidad en este alojamiento,,4,3
85490,Mario Bernal Gastélum,,Perfecto para familias y grupos grandes,2,4,2
85543,,+56 9 9047 5484,Ideal para una escapada romántica,3,2,2
85609,Esperanza Valverde Urrutia,+56 2 1614 7525,Experimenta el lujo y la comodidad en este alojamiento,,4,3
85717,Sr. María José Valverde Espino,+56 9 6913 4326,Disfruta de una estadía en el corazón de la ciudad,3,4,
85884,Sr. Sara Alicea Pedraza,+56 2 4268 2182,Ubicación céntrica con fácil acceso a atracciones turísticas,6,,4
85919,Sra. Beatriz González Ornelas,+56 2 2007 4035,,5,3,2
86024,,,Perfecto para familias y grupos grandes,3,,2
86158,Eduardo Cedillo Robledo,+56 9 4935 5428,Perfecto para familias y grupos grandes,4,,2
86249,Florencia Tamayo Vela,+56 2 0503 0272,Descubre la historia de la ciudad desde tu ventana,3,3,
86279,Irene Cornejo Arroyo,,Ideal para una escapada romántica,2,5,1
86295,Octavio Guzmán Rubio,+56 9 2204 9821,,4,5,4
86391,Cecilia Hidalgo Heredia,,Perfecto para familias y grupos grandes,6,6,4
86598,Virginia Rivero Quiñónez,+56 9 8024 3086,Relájate en un lugar tranquilo y acogedor,6,,
86604,,+56 9 7717 3672,Relájate en un lugar tranquilo y acogedor,,3,2
86673,,+56 9 6575 4228,Ideal para una escapada romántica,6,5,4
86693,Carmen Rolón Garibay,+56 9 0148 1659,Disfruta de una estadía en el corazón de la ciudad,,2,3
86718,Sta. Silvia Rangel Barragán,+56 2 2023 2436,,2,2,2
86748,Diana Cervantes Lebrón,,Aventúrate en la naturaleza y descansa en un lugar cómodo,3,3,1
86970,María Luisa Valadez Uribe,+56 2 2769 8578,Experimenta el lujo y la comodidad en este alojamiento,,3,1
87185,Alejandra Sandoval Leyva,+56 2 6878 0603,Ideal para una escapada romántica,2,2,
87284,Esperanza Niño Uribe,+56 2 1701 8382,Relájate en un lugar tranquilo y acogedor,4,,4
87319,Salvador Fonseca Pabón,+56 2 6984 7165,Experimenta el lujo y la comodidad en este alojamiento,,3,2
87381,Rosalia Rivero Salcedo,+56 9 1025 7014,,1,5,4
87459,Sr. Fernando Orosco Luna,+56 2 9566 5600,Disfruta de una estadía en el corazón de la ciudad,2,,1
87593,,+56 9 8689 3199,Perfecto para familias y grupos grandes,4,,4
87622,Sr. Florencia Pérez Mora,+56 9 2062 6377,Relájate en un lugar tranquilo y acogedor,2,3,
87842,Sr. Maricarmen Reyes Villanueva,+56 9 6018 2883,,5,4,4
87848,Hernán Farías Mercado,+56 9 2964 4200,Disfruta de una estadía en el corazón de la ciudad,,4,3
87861,,+56 9 5106 7952,,5,6,4
87977,Clemente Escobar Villaseñor,+56 2 4616 7323,Experimenta el lujo y la comodidad en este alojamiento,,3,2
88084,Teodoro Hidalgo Reynoso,+56 9 0450 4820,Ubicación céntrica con fácil acceso a atracciones turísticas,3,,3
88176,Rosa Lira Espinoza,,Relájate en un lugar tranquilo y acogedor,2,2,3
88286,Adriana Granado Báez,+56 2 5474 0832,Disfruta de una estadía en el corazón de la ciudad,4,6,
88448,,+56 9 1010 7433,,6,4,4
88612,,+56 9 3850 7480,,2,2,1
88804,Verónica Rendón Barrera,+56 2 5454 1086,Disfruta de una estadía en el corazón de la ciudad,4,4,
88811,José Luis Rocha Aragón,+56 2 1574 7279,Descubre la historia de la ciudad desde tu ventana,,4,2
88926,Anita Gutiérrez Balderas,+56 9 3228 4745,Experimenta el lujo y la comodidad en este alojamiento,,5,3
88974,Sr. Marta Rosado Lucio,+56 9 8562 8410,Relájate en un lugar tranquilo y acogedor,2,3,
88980,Sta. Samuel Santana Murillo,+56 9 2867 4954,Aventúrate en la naturaleza y descansa en un lugar cómodo,4,,4
89028,,+56 2 2683 4403,Ideal para una escapada romántica,3,5,3
89567,,+56 2 7274 5765,Disfruta de una estadía en el corazón de la ciudad,3,3,3
89711,Sra. Elsa Nieves Carrero,+56 9 1503 4796,Aventúrate en la naturaleza y descansa en un lugar cómodo,,4,3
89735,Sra. Guadalupe Valverde Negrete,,Relájate en un lugar tranquilo y acogedor,4,,2
89921,,+56 2 0732 3573,Aventúrate en la naturaleza y descansa en un lugar cómodo,4,2,2
90225,Jerónimo Vigil Villagómez,+56 2 6242 6247,Perfecto para familias y grupos grandes,4,,4
90269,Sr. Estela Méndez Valle,+56 9 9225 9812,,3,3,3
90293,Luz Garrido Carreón,+56 9 2699 9773,Descubre la historia de la ciudad desde tu ventana,,3,2
90382,Andrea Caraballo Perales,+56 9 3235 3826,Experimenta el lujo y la comodidad en este alojamiento,2,4,
90578,,+56 2 5927 7120,Descubre la historia de la ciudad desde tu ventana,4,4,3
90586,,+56 9 9995 7980,Ideal para una escapada romántica,6,5,3
90980,Benito Guerra Brito,+56 2 4261 3330,Aventúrate en la naturaleza y descansa en un lugar cómodo,,2,2
91011,Nicolás Valenzuela Viera,+56 9 2662 4547,Relájate en un lugar tranquilo y acogedor,3,,1
91022,José Luis Tórrez Hidalgo,+56 9 4805 2254,Relájate en un lugar tranquilo y acogedor,,3,3
91038,Daniela Rael Samaniego,+56 2 8689 1497,Ubicación céntrica con fácil acceso a atracciones turísticas,3,4,
91092,,+56 9 3702 9511,Ideal para una escapada romántica,2,2,2
91140,,+56 9 9705 4456,Descubre la historia de la ciudad desde tu ventana,3,4,3
91282,,+56 2 5237 5693,Ideal para una escapada romántica,2,3,4
91412,Homero Prado Patiño,+56 9 3711 2935,Ideal para una escapada romántica,6,,4
91443,,+56 2 5397 0303,,2,2,2
91523,Sr. Carolina Peres Saldivar,+56 2 5997 9083,,6,5,1
91628,Josefina Velázquez López,+56 2 3576 8778,Ubicación céntrica con fácil acceso a atracciones turísticas,,3,3
91718,Dorotea Lovato Barragán,+56 2 0218 2013,Disfruta de una estadía en el corazón de la ciudad,5,,3
91749,Martín Ortiz Sáenz,+56 2 2683 9009,,3,2,1
91757,Hernán Delgado Quintana,+56 9 5078 6541,,4,2,2
91761,Mariana Gallegos Maya,+56 9 2212 2243,Disfruta de una estadía en el corazón de la ciudad,3,,3
91777,Julia Holguín Villarreal,+56 2 9272 8439,Aventúrate en la naturaleza y descansa en un lugar cómodo,6,5,
91919,María del Carmen Corral Maya,,Disfruta de una estadía en el corazón de la ciudad,2,2,2
91924,,+56 2 1008 3012,Disfruta de una estadía en el corazón de la ciudad,6,5,4
91942,Jesús Cuellar Guajardo,,Relájate en un lugar tranquilo y acogedor,5,5,3
91983,María del Carmen Reyna Lovato,+56 9 9255 5989,Descubre la historia de la ciudad desde tu ventana,4,5,
92023,Adriana Ceja Montaño,,Ubicación céntrica con fácil acceso a atracciones turísticas,2,,3
92220,Benjamín Irizarry Mireles,+56 2 4873 3150,Disfruta de una estadía en el corazón de la ciudad,,6,3
92243,Adela Collazo Chapa,+56 9 9891 4284,Ideal para una escapada romántica,4,3,
92397,Esperanza Colunga Gonzales,+56 2 0380 7653,Disfruta de una estadía en el corazón de la ciudad,,4,4
92480,Olivia Puente Farías,,Aventúrate en la naturaleza y descansa en un lugar cómodo,6,6,3
92482,María del Carmen Osorio Marín,,Disfruta de una estadía en el corazón de la ciudad,4,2,2
92499,Marta Uribe Figueroa,,Perfecto para familias y grupos grandes,3,5,3
92572,Sonia Medina Palacios,+56 2 1322 0580,Disfruta de una estadía en el corazón de la ciudad,2,2,
92973,Sr. Graciela Estévez Herrera,,Descubre la historia de la ciudad desde tu ventana,2,2,1
92999,Gilberto Alonso Agosto,+56 2 0552 5864,,2,3,3
93156,Susana Castro Tovar,,Ideal para una escapada romántica,6,5,3
93267,Diego Maya Bermúdez,+56 2 3438 8086,Perfecto para familias y grupos grandes,,3,3
93364,,+56 2 7674 7790,Experimenta el lujo y la comodidad en este alojamiento,6,6,4
93404,Cristobal Collazo Vargas,+56 9 2989 8842,Disfruta de una estadía en el corazón de la ciudad,4,6,
93515,,+56 2 5149 8386,Aventúrate en la naturaleza y descansa en un lugar cómodo,6,4,3
93700,Silvia Echevarría Zepeda,,Experimenta el lujo y la comodidad en este alojamiento,,6,3
93846,Lucia Rodríguez Haro,+56 2 9947 5168,Ubicación céntrica con fácil acceso a atracciones turísticas,3,,2
93857,Emilio Sisneros Caraballo,,Aventúrate en la naturaleza y descansa en un lugar cómodo,4,6,4
94035,,+56 2 6703 4264,Experimenta el lujo y la comodidad en este alojamiento,3,3,1
94098,,+56 2 2927 2069,Ubicación céntrica con fácil acceso a atracciones turísticas,5,4,3
94168,,+56 9 6508 8007,Perfecto para familias y grupos grandes,4,5,3
94171,,+56 2 2802 0291,Descubre la historia de la ciudad desde tu ventana,6,4,4
94184,Magdalena Lozada Lomeli,+56 9 0788 5928,Aventúrate en la naturaleza y descansa en un lugar cómodo,5,,3
94279,Guillermina Sanches Terrazas,+56 9 0233 8931,Experimenta el lujo y la comodidad en este alojamiento,,3,1
94288,Mario Barraza Véliz,+56 2 2465 7545,Experimenta el lujo y la comodidad en este alojamiento,3,,2
94429,,+56 9 1273 2322,Experimenta el lujo y la comodidad en este alojamiento,6,5,4
94461,Adán Jurado Espino,,Experimenta el lujo y la comodidad en este alojamiento,5,4,2
94500,,+56 9 2402 6745,Disfruta de una estadía en el corazón de la ciudad,5,,4
94696,César Tirado Valladares,+56 9 9489 0964,Aventúrate en la naturaleza y descansa en un lugar cómodo,,3,2
94905,Elvira Vanegas Garica,+56 2 8637 3401,Descubre la historia de la ciudad desde tu ventana,,4,2
95065,Ramón Salcedo Mayorga,+56 2 5391 8455,Relájate en un lugar tranquilo y acogedor,,4,4
95092,Isabela de Anda Duarte,+56 2 7182 3024,Perfecto para familias y grupos grandes,4,3,
95171,Lilia Burgos Acosta,+56 9 6901 3841,Descubre la historia de la ciudad desde tu ventana,3,3,
95189,Rocio Archuleta Alva,+56 2 9869 9281,Disfruta de una estadía en el corazón de la ciudad,,4,3
95197,Luis Miguel Suárez Echevarría,+56 9 0851 9421,Ideal para una escapada romántica,6,,4
95322,Susana Santillán Uribe,+56 2 7113 9126,Relájate en un lugar tranquilo y acogedor,,2,2
95546,Cristian Aragón Cadena,,Aventúrate en la naturaleza y descansa en un lugar cómodo,2,3,
95564,Jerónimo Guevara Nieto,+56 2 6578 2967,,4,,3
95677,Blanca Cerda Arguello,,Disfruta de una estadía en el corazón de la ciudad,,2,3
95712,Sra. Juan Prado Valdivia,+56 2 4420 6051,Relájate en un lugar tranquilo y acogedor,4,6,
95878,Sra. Mercedes Zamora Pulido,+56 9 2420 0895,Perfecto para familias y grupos grandes,3,,3
95910,Laura Barraza Sanabria,+56 2 2611 3578,Ideal para una escapada romántica,3,3,
96037,Yolanda Aparicio Delao,+56 2 1797 6176,,4,4,4
96304,Sta. Susana Méndez Véliz,+56 9 0416 7162,Disfruta de una estadía en el corazón de la ciudad,6,,
96571,Amalia Badillo Salcido,+56 2 9673 6315,Ubicación céntrica con fácil acceso a atracciones turísticas,5,6,
96972,Sr. María José Rodríquez Sandoval,,Ideal para una escapada romántica,4,4,2
97063,Juan Segovia Aparicio,+56 9 2675 7485,Relájate en un lugar tranquilo y acogedor,,1,
97148,Sr. Ricardo Alonso Muñoz,+56 9 0464 7257,Experimenta el lujo y la comodidad en este alojamiento,4,,3
97200,Sta. Tomás Canales Deleón,,Ideal para una escapada romántica,2,4,3
97309,,+56 9 7870 5277,Disfruta de una estadía en el corazón de la ciudad,2,2,1
97375,,+56 9 9388 3012,Perfecto para familias y grupos grandes,5,4,3
97502,Sara Lozano Benítez,+56 2 1890 9622,Relájate en un lugar tranquilo y acogedor,2,3,
97515,,+56 9 9235 5057,Experimenta el lujo y la comodidad en este alojamiento,2,5,2
97761,Benito Abreu Cabán,+56 2 9421 5151,Ubicación céntrica con fácil acceso a atracciones turísticas,,2,3
97866,,+56 9 4460 0696,Relájate en un lugar tranquilo y acogedor,3,3,1
97960,Ignacio Gómez Leiva,+56 2 4088 5100,,4,4,3
98030,Timoteo Frías Juárez,+56 2 7133 6524,,2,3,1
98147,Graciela Noriega Barrera,+56 2 5738 8840,Aventúrate en la naturaleza y descansa en un lugar cómodo,4,6,
98200,Sta. Mario Puga Banda,,Ideal para una escapada romántica,4,6,4
98239,Catalina Batista Padrón,+56 2 3654 0990,,3,5,3
98292,Rosa Ordóñez Caballero,+56 9 3941 4159,Relájate en un lugar tranquilo y acogedor,5,5,
98393,Leonor Loera Casanova,+56 2 1717 0207,Experimenta el lujo y la comodidad en este alojamiento,2,6,
98456,Arturo Olivárez Rentería,+56 2 0463 4888,Ubicación céntrica con fácil acceso a atracciones turísticas,,4,2
98692,Arturo Caballero Portillo,+56 2 9118 5867,Disfruta de una estadía en el corazón de la ciudad,6,,4
98717,Rafael Rubio Sosa,+56 2 9921 4035,,,3,
98950,Sta. Juan Carlos Reséndez Ordóñez,+56 9 2785 1376,,2,5,2
99302,Ramona Reyna Carbajal,+56 9 1708 8487,Relájate en un lugar tranquilo y acogedor,,6,3
99618,Roberto Fajardo Orta,,Ideal para una escapada romántica,5,6,3
99647,Sancho Gallardo Coronado,,Ubicación céntrica con fácil acceso a atracciones turísticas,2,2,2
99697,,+56 9 1910 3677,Aventúrate en la naturaleza y descansa en un lugar cómodo,6,2,4
99702,Micaela Posada Gallegos,+56 2 4616 4305,,3,2,2
99906,,,Aventúrate en la naturaleza y descansa en un lugar cómodo,,2,1
99959,,+56 9 9629 6266,,5,4,3
99981,Olivia Castañeda Frías,+56 2 3359 6635,Aventúrate en la naturaleza y descansa en un lugar cómodo,4,5,
100093,Homero Palomino Duarte,+56 2 2810 6940,Relájate en un lugar tranquilo y acogedor,2,,2
100153,Claudia Pedraza Ríos,+56 9 1333 4191,Descubre la historia de la ciudad desde tu ventana,2,,2
100517,Sra. Josefina Collazo Vigil,+56 9 2867 2717,Relájate en un lugar tranquilo y acogedor,3,,3
100595,Florencia Tamayo Colón,,Ideal para una escapada romántica,3,3,2
