correo,jornada,isapre,contrato
fernando9516886@viajes.cl,Nocturno,Más vida,
daniel9564115@viajes.cl,Nocturno,Colmena,
ana168390@viajes.cl,Nocturno,,Part time
lupeal718@viajes.cl,Nocturno,Consalud,
Sr.batista377@viajes.cl,Diurno,Más vida,
antonio1796431@viajes.cl,Diurno,Colmena,
stlosava427@viajes.cl,Nocturno,Banmédica,
clbaca144@viajes.cl,Diurno,Consalud,
blanca6896603@viajes.cl,Diurno,,Full time
sryocuca420@viajes.cl,Diurno,Más vida,
stmaancaca776@viajes.cl,Nocturno,,Full time
stcrsova938@viajes.cl,Diurno,,Part time
rosa7004561@viajes.cl,Nocturno,,Full time
soarto254@viajes.cl,Nocturno,Más vida,
srbegrqu492@viajes.cl,Nocturno,,Full time
Gloriazamora989@viajes.cl,Diurno,,Part time
maría6189610@viajes.cl,Nocturno,Banmédica,
juan8830456@viajes.cl,Nocturno,,Full time
Horaciotoledo760@viajes.cl,Nocturno,,Full time
Horaciopedroza640@viajes.cl,Diurno,Fonasa,
Sta.toledo438@viajes.cl,Nocturno,Banmédica,
jaarad771@viajes.cl,Diurno,Consalud,
Rebecaaguilera215@viajes.cl,Diurno,,
Leticiapeña778@viajes.cl,Diurno,,Part time
julio5928547@viajes.cl,Nocturno,Más vida,
stelbalu988@viajes.cl,Nocturno,,Part time
Sr.cabrera350@viajes.cl,Nocturno,,Full time
clesro149@viajes.cl,Diurno,,Part time
eloisa888944@viajes.cl,,Fonasa,
Sra.apodaca812@viajes.cl,Diurno,Colmena,
berta893330@viajes.cl,,Banmédica,
lorena822833@viajes.cl,Diurno,,Full time
carmen9488238@viajes.cl,Diurno,,Full time
matepaco678@viajes.cl,Nocturno,,Full time
Raquelholguín560@viajes.cl,Nocturno,,Part time
sta.8744824@viajes.cl,Diurno,,Full time
hernán1890960@viajes.cl,Nocturno,Colmena,
Lourdesarce209@viajes.cl,Diurno,Banmédica,
srloqufe240@viajes.cl,Nocturno,Banmédica,
sra.867154@viajes.cl,Nocturno,Fonasa,
hetémo696@viajes.cl,Nocturno,Más vida,
jalear437@viajes.cl,Diurno,Consalud,
alpago246@viajes.cl,Nocturno,,Full time
igcaal675@viajes.cl,Diurno,Más vida,
rodrigo7922805@viajes.cl,Nocturno,Consalud,
