nombre,correo,contrasena,username,telefono_contacto,run,dv
Javier Esquivel Pineda,,EfoLl0t3O5w3q,jaespi269,+56 9 7542 1937,13892845,4
Elena Puente Rascón,,RT8qvA2pt,Elenarascón584,+56 9 2903 1620,22030988,6
Hugo Figueroa Dávila,,4LhChSdTO5LjaHLX,Hugodávila664,,25261641,1
Ricardo Olmos Otero,,pJjwf4wkeYHDto8b,Ricardootero102,,20454407,7
Sta. Margarita Chávez Quiñónez,,xXL2bzjPsAziLfft,Sta.quiñónez514,+56 2 1690 7131,6194219,K
Conchita Ávalos Muñiz,,ZOXg3UhguN17jj5W,coávmu849,+56 9 5905 4230,6949938,4
Juan Carlos Rangel Herrera,,47w4MMlWe0Y,jucarahe651,+56 9 5445 8998,10308907,7
,,N3NMwwntJTp55m,maría377164,+56 2 6394 6518,20340678,9
Juan Carlos Cortés Alaniz,,M8PopqxB,Juanalaniz456,+56 2 6775 6779,6365109,5
,,ld30kRYw,Teresaflórez761,+56 2 1088 1794,10990638,7
Marilu Rivas Avilés,,Ce4Avna2mk9HNZw,mariav146,+56 2 8261 5154,-19126049,K
Leonor Molina Granado,,r0LmGcYIMxn5,,+56 9 4697 5495,3824246,6
Sara Muñiz León,,LxWTy49xbV74GhI,sara5449654,+56 2 3762 6277,7713558,8
Salvador Samaniego Campos,,jIyzirA32HQTDl,Salvadorcampos949,+56 2 7346 9326,8241240,9
Ricardo Garrido Aguilera,,Q6AJ8q0FzRGwaMQp,ricardo2474929,+56 9 9391 5210,4479646,5
David Villa Jáquez,,Isu2NltEY0,david6454150,+56 2 2610 1601,5611097,6
Leticia Muñiz Villanueva,,,Leticiavillanueva572,+56 2 0853 2580,16155457,K
Guadalupe Chávez Garica,,WvDnBtNAxS9,guadalupe3643604,+56 2 1575 0017,23522043,1
Teresa Alemán Zúñiga,,K2RnK0g0nwgBbiZ,teresa6284141,+56 2 0852 9601,22463486,2
Conchita Corrales Santiago,,cE68j5Ar1YrJ3W,Conchitasantiago523,+56 2 7156 8033,8169717,5
Sra. Salvador Duarte Romo,,3yyEiE2f9RWq,srsaduro114,+56 9 2128 4319,20722616,5
Ana Luisa Fajardo Ochoa,,,ana8664771,+56 9 4417 0950,26527231,2
Sta. Emilio Muñiz Navarro,,781pq3Y891,,+56 9 5842 8362,22636534,6
Octavio Saldaña Soria,,QGn3XANbIrv,Octaviosoria202,+56 9 2879 4219,21147606,0
Jacobo Murillo Armas,,4qD2CpdD1zzY,jacobo4400203,+56 9 6412 0497,744382,K
Hernán Ávalos Santana,,,Hernánsantana931,+56 2 1091 0836,3699303,0
Pablo Rivera Ulloa,,LjcqYfPCFI57,Pabloulloa817,+56 2 9804 8888,18036909,0
Antonio Rolón Regalado,,i5KAsbVbHx30G,anrore623,+56 9 6381 5686,,
Carlos Alarcón Ferrer,,bsSwFFO9cFBsEoX,Carlosferrer394,+56 2 7850 6632,23821370,3
Cristian Armendáriz Palomino,,eh95DlVFDFi,crarpa941,+56 9 6254 4281,1087863,2
Sr. Julio César de Jesús Loya,,K7M6AfvxL,srjucédejelo472,+56 9 3149 4727,24306276,4
David Tapia Cadena,,R7Lw3uZ4DErKPnF,,+56 9 2266 6173,7965501,5
Isabel Barrios Quesada,,3udA3xSUvqnZl,isabel3627113,+56 2 7691 5780,22210249,9
Manuel Lerma Carrion,,lm9ri3gnKdEnI,manuel7878178,+56 2 5090 5887,5273202,6
Alfredo Angulo Pabón,,OZcrtd2Pb7nQ15,,+56 2 7188 7032,21651457,2
Reina Robles Cepeda,,V5FJxEu5,Reinacepeda463,+56 2 4402 3709,24102900,K
,,lpOodI2BU,Cristinalaboy363,+56 9 8082 3315,26649451,3
Clemente Armenta Mojica,,20HRzMgxk1ea,clemente4213490,,16810929,6
Sr. Inés Pantoja Cavazos,,fDYEAW9SE3hn,srinpaca363,+56 9 4198 9768,9275677,7
Antonia Gonzales Naranjo,,Re6C80JdF5Pv,antonia6828176,+56 2 4047 4188,,
Sr. Mateo Nieves Arredondo,,5GPFg4OVPlrmz,Sr.arredondo790,+56 2 6193 9321,7761839,2
