id,correo_usuario,reserva_id,estrellas,descripcion
1,Elsaolvera295@tourket.com,78425,,
2,Gabrieladame361@outluc.com,78433,90,Malo
3,Sofiacazares811@wass.com,78442,,
4,vicente4309272@wass.com,78493,,
5,Maríalucero990@tourket.com,78500,,
6,Maríalucero990@tourket.com,78503,47,Servicio regular
7,Maríalucero990@tourket.com,78504,,
8,Maríalucero990@tourket.com,78505,,
9,alreci801@tourket.com,,1,Muy insatisfecho
10,alreci801@tourket.com,78528,,
11,Dianaméndez890@tourket.com,78541,,
12,alicia4034135@marmol.com,78546,1,Pésimo
13,sttipimo925@marmol.com,78552,4,Me atendieron bien
14,lugodu208@marmol.com,78563,,
15,sta.1276352@tourket.com,78567,,
16,,78616,5,Excelente
17,Sra.nevárez254@edubus.cal,78647,,
18,Clarasoria525@wass.com,,4,Bueno
19,marilu6685998@viajesanma.com,78671,4,Me atendieron bien
20,,78674,1,Muy insatisfecho
21,marilu6685998@viajesanma.com,78676,2,No lo recomendaría
22,,78681,4,Bueno
23,guraza832@wass.com,78696,5,
24,guraza832@wass.com,78699,2,
25,guraza832@wass.com,78703,1,Malo
26,Lorenaarguello179@edubus.cal,78714,,
27,céalbe602@outluc.com,78725,4,Buena experiencia en general
28,Joséterán661@wass.com,,4,Me atendieron bien
29,aggóca712@viajesanma.com,78738,,
30,,78741,,
31,aggóca712@viajesanma.com,78743,,
32,joaquín1510981@marmol.com,78756,1,Pésimo
33,mayte7853127@wass.com,78760,,
34,daparí324@edubus.cal,78768,5,Servicio de primera
35,daparí324@edubus.cal,78769,4,Bueno
36,daparí324@edubus.cal,78771,,
37,anmabarí968@tourket.com,78790,,
38,alfonso7804322@tourket.com,78815,73,Aceptable
39,Dianaregalado290@wass.com,,5,Sin duda volveré
40,Amaliabarrientos651@viajesanma.com,78836,,
41,gumebe955@tourket.com,78849,1,No vuelvo más
42,,,2,No me convenció del todo
43,guadalupe5137759@edubus.cal,78889,,Completamente decepcionado
44,maría320378@tourket.com,78897,,
45,sra.8431340@tourket.com,78907,,
46,Sra.camarillo587@edubus.cal,78918,4,Bueno
47,Sra.sanabria958@edubus.cal,78971,5,Excelente
48,susana9334818@viajesanma.com,78995,,Hubo varios problemas
49,sr.3525257@outluc.com,79017,1,Completamente decepcionado
50,Sta.cardenas262@viajesanma.com,,4,Bueno
51,srracaal432@wass.com,79048,4,Bueno
52,Benitomena938@outluc.com,,1,No vuelvo más
53,srroguti835@tourket.com,79062,1,Completamente decepcionado
54,srroguti835@tourket.com,79064,2,Hubo varios problemas
55,maméle199@edubus.cal,79073,1,Pésimo
56,Emiliaarmijo452@marmol.com,79079,5,Excelente
57,inayze239@marmol.com,79089,,
58,sr.5323939@outluc.com,79096,82,Servicio de primera
59,ánsama367@viajesanma.com,79103,61,No vuelvo más
60,Carolinamagaña828@wass.com,79133,,
61,srmatoro508@wass.com,79137,,
62,srmatoro508@wass.com,79139,,Buena experiencia en general
63,argabe875@marmol.com,79163,3,Podría mejorar
64,roalal895@marmol.com,,1,
65,sressoga952@tourket.com,79190,,
66,Cristinalaboy646@outluc.com,79192,,
67,Cristinalaboy646@outluc.com,79194,,
68,Anaarmas466@edubus.cal,79207,83,Regular
69,jucohu324@viajesanma.com,,2,No me convenció del todo
70,Sta.arenas800@tourket.com,79278,,
71,marilu2791390@marmol.com,79314,4,Bueno
72,carlos7811963@marmol.com,79322,,
73,camaro709@wass.com,79332,5,Excelente
74,edcapa606@marmol.com,79360,,
75,Andreaguardado378@tourket.com,79398,1,Malo
76,Benitomedrano445@edubus.cal,79409,5,Sin duda volveré
77,,79410,4,Bueno
78,luisa3743655@tourket.com,79423,,
79,,79433,2,Hubo varios problemas
80,raacsa929@edubus.cal,79438,,
81,Andreaguardado378@tourket.com,79447,4,
82,lomodo833@outluc.com,79451,3,"Cumplió con mis expectativas, pero sin destacar"
83,lomodo833@outluc.com,79453,82,Muy satisfecho
84,,79455,3,Aceptable
85,damebo681@outluc.com,79466,,
86,Franciscosantiago432@outluc.com,,,
87,caures757@viajesanma.com,,8,"Cumplió con mis expectativas, pero sin destacar"
88,coongu568@marmol.com,79574,,
89,marco742783@edubus.cal,79577,,
90,ana570903@edubus.cal,79590,72,Malo
91,Hernánespino970@edubus.cal,79603,,
92,diquec564@outluc.com,79609,,
93,claudia8569766@viajesanma.com,79615,4,Bueno
94,claudia8569766@viajesanma.com,79617,2,No me convenció del todo
